Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
b12p-red16,ZF,F,12/29/2006,4,,red16,green12,7/24/2007,Given away,Given away to Johanna,FALSE
b12r1,ZF,M,6/30/2007,1,,r3p-r19o,r16o-r11,9/4/2007,Perished,Bird was found dead in cage. Inspection of the body showed no particuliar signs of illness or agression. Natural death presumed.,FALSE
b12r2,ZF,F,9/1/2007,5,,yellow1,green12,8/21/2008,NE,"euthanized, not found in ZZ-O on 09.06.08",FALSE
b12r3,ZF,M,12/28/2007,4,,b16r1,o11p-p20,6/25/2009,NE,"missing since 3.7.08. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
b12r4,ZF,M,4/4/2008,2,,r2s6,r2y1,7/14/2008,Perished,Bird escapes cage in isochamber on 14th of july and is really weak when we find it. -> euthanasia,FALSE
b12r5,ZF,M,,0,,,,10/27/2008,End of Exp.,bought from qualipet on 10.10.08,FALSE
b12r6,ZF,F,11/8/2008,4,,b7r5,g19r2,3/20/2009,NE,,FALSE
b12r7,ZF,,3/2/2009,0,,y16p-s2,o8r5,,,,FALSE
b12r8,ZF,F,5/30/2009,4,FJ3,r5y11,p15r5,,,,FALSE
b13g-red11,ZF,M,1/1/2007,5,,red11,purple16,10/25/2008,End of Exp.,cochlear rem. by Claude,FALSE
b13o-g14k,ZF,M,6/9/2006,0,,g14k,orange16,9/25/2006,NE,found by Johanna in Cage M1. She wrote that she has found b3o*. But this bird is supposed to be a female that’s why I mark the b13o  as dead.,FALSE
b13p-y13k,ZF,F,12/22/2006,2,,y13k-s17,purple5,7/24/2007,Given away,Given away to Johanna,FALSE
b13r2,ZF,M,12/28/2007,4,,b16r1,o11p-p20,2/5/2008,End of Exp.,,FALSE
b13r3,ZF,M,9/5/2007,2,,g6r1,p14b-r16,6/24/2009,End of Exp.,,FALSE
b13r4,ZF,F,4/8/2008,1,,r2s4,y8o-r16,3/20/2009,NE,,FALSE
b13r5,ZF,M,,0,,,,10/15/2008,End of Exp.,bought from qualipet on 10.10.08,FALSE
b13r6,ZF,F,11/8/2008,4,,b7r5,g19r2,3/20/2009,NE,,FALSE
b13r7,ZF,,2/20/2009,1,,red11,b7br-b3k,5/5/2009,End of Exp.,,FALSE
b13r8,ZF,F,5/30/2009,4,FJ8,r5y11,p15r5,,,,FALSE
b14k-p11k,ZF,M,3/2/2006,0,,p11k-ch900,g16k,6/28/2006,End of Exp.,,FALSE
b14o-sb,ZF,M,6/26/2006,0,,silverblack,purple17,9/7/2006,End of Exp.,Pipette fell off possibly due to lack of insect pin.,FALSE
b14p-y13k,ZF,F,12/22/2006,2,,y13k-s17,purple5,4/20/2007,End of Exp.,,FALSE
b14r1,ZF,M,7/17/2007,5,,red16,g18k-y6,11/23/2007,End of Exp.,,FALSE
b14r2,ZF,M,9/5/2007,2,,g6r1,p14b-r16,1/22/2008,End of Exp.,,FALSE
b14r3,ZF,M,12/28/2007,4,2M4,b16r1,o11p-p20,,,Reserved by Claude.,FALSE
b14r4,ZF,M,4/8/2008,1,M1,r2s4,y8o-r16,,,,FALSE
b14r5,ZF,M,,0,,,,5/12/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b14r6,ZF,F,,0,,r011,,1/15/2009,NE,No juvenile record and found in 2M1B looking like 60 days old. (13.01.2009 Claude).,FALSE
b14r7,ZF,M,3/14/2009,0,,b16r6,o13r5,8/17/2009,End of Exp.,bird did not sing in isochamber. -Michael. Not found in KM on 20 June 2009 - Janie. I found it in KM on 21.06.2009. -Claude.,FALSE
b14r8,ZF,F,5/30/2009,4,FJ8,r5y11,p15r5,,,,FALSE
b15g-red11,ZF,F,1/1/2007,5,,red11,purple16,4/20/2007,End of Exp.,,FALSE
b15k-p11k,ZF,F,3/3/2006,0,,p11k-ch900,g16k,10/6/2006,NE,,FALSE
b15o-sb,ZF,F,6/26/2006,0,,silverblack,purple17,10/6/2006,NE,,FALSE
b15p-y13k,ZF,F,12/22/2006,2,,y13k-s17,purple5,7/24/2007,Given away,Given away to Johanna,FALSE
b15r1,ZF,F,7/17/2007,5,,red16,g18k-y6,11/1/2007,Given away,Given away to Johanna,FALSE
b15r2,ZF,M,9/5/2007,2,,g6r1,p14b-r16,5/19/2008,,,FALSE
b15r3,ZF,F,1/19/2008,5,,g13p-purple20,r8p-s19o,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b15r4,ZF,F,4/16/2008,3,,g8r2,b11r2,8/21/2008,NE,euthanized,FALSE
b15r5,ZF,M,,0,,,,5/5/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b15r6,ZF,F,11/5/2008,4,M5,b15r5,o5r5,,,,FALSE
b15r7,ZF,M,3/2/2009,1,,b8p-s14k,p2r6,5/2/2009,NE,"bird was sick, Daniele killed it.",FALSE
b15r8,ZF,M,6/22/2009,5,,b6r5,r7y4,9/23/2009,End of Exp.,,FALSE
b16g-red11,ZF,F,1/1/2007,5,,red11,purple16,11/1/2007,Given away,Given away to Johanna,FALSE
b16k-r16,ZF,M,4/3/2006,5,,red16,green12,1/12/2007,End of Exp.,"very nervous in setup, do not put in small cages for experiment",FALSE
b16o-sb,ZF,F,6/27/2006,0,,silverblack,purple17,10/6/2006,NE,,FALSE
b16p-y13k,ZF,F,12/22/2006,2,,y13k-s17,purple5,6/25/2007,End of Exp.,,FALSE
b16r1,ZF,M,7/17/2007,5,,red16,g18k-y6,3/9/2008,Perished,"Attacked by his ex-wife ""o11p-p20"". Now with a new wife ""p10r2"". But when he sang to p10r2, there was only beak movement without song. So I put another tutor ""g12r2"" together with them (07.03.2008). Unfortunately this bird was killed by the new comers. (10.03.2008). Claude.",FALSE
b16r2,ZF,F,9/28/2007,0,,s20o-yellow20,p19k-o3,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b16r3,ZF,F,1/15/2008,1,,r2s7,b12r2,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b16r4,ZF,M,4/16/2008,3,,g8r2,b11r2,10/15/2008,End of Exp.,,FALSE
b16r5,ZF,M,8/22/2008,0,,,,11/5/2008,End of Exp.,"bought from Qualipet on 22.10.08, birthday estimated",FALSE
b16r6,ZF,M,11/5/2008,4,,b15r5,o5r5,8/3/2009,End of Exp.,,FALSE
b16r7,ZF,F,2/19/2009,3,,b14r3,o6r5,6/24/2009,End of Exp.,,FALSE
b16r8,ZF,F,6/22/2009,5,FJ6,b6r5,r7y4,,,never heard any song. reserved for preference tests. alessandro,TRUE
b17k-sb,ZF,F,4/13/2006,0,,silverblack,purple17,10/6/2006,NE,,FALSE
b17p-y13k,ZF,F,12/22/2006,2,,y13k-s17,purple5,7/24/2007,Given away,Given away to Johanna,FALSE
b17r1,ZF,M,6/8/2007,3,,yellow20,blue2,10/9/2007,End of Exp.,,FALSE
b17r2,ZF,F,9/28/2007,0,,s20o-yellow20,p19k-o3,8/21/2008,NE,euthanized,FALSE
b17r3,ZF,M,1/8/2008,0,,s20o-yellow20,p19k-o3,3/19/2008,End of Exp.,,FALSE
b17r4,ZF,F,4/16/2008,3,,g8r2,b11r2,8/21/2008,NE,euthanized,FALSE
b17r5,ZF,M,6/22/2008,0,,,,10/27/2008,End of Exp.,"bought from Qualipet on 22.10.08, birthday estimated",FALSE
b17r6,ZF,M,11/8/2008,3,,b3r5,o7r5,2/10/2009,End of Exp.,,FALSE
b17r7,ZF,M,3/13/2009,3,,b9r5,o8p-y8,5/26/2009,End of Exp.,,FALSE
b17r8,ZF,,7/1/2009,2,R1,p3r6,r5y18,,,Was moved to R1 because was mistreated by his father,FALSE
b18o-silver2,ZF,F,8/14/2006,2,,silver2,p6k-y8,11/10/2006,Surgery,,FALSE
b18p-p20,ZF,M,2/14/2007,3,,purple20,purple13,6/3/2007,End of Exp.,,FALSE
b18p-s14k,ZF,F,12/31/2006,0,,s14k-r16,p3o-sb,11/1/2007,Given away,Given away to Johanna,FALSE
b18r1,ZF,F,6/7/2007,1,,y7o-r16,r11o-o4k,10/25/2007,End of Exp.,,FALSE
b18r2,ZF,M,10/15/2007,3,,g2r1,r1y17,2/5/2008,End of Exp.,,FALSE
b18r3,ZF,F,1/27/2008,5,,silver15,o8p-y8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b18r4,ZF,M,4/10/2008,5,,o1r1,r7g-yellow8,7/10/2008,Perished,,FALSE
b18r5,ZF,M,6/22/2008,0,,,,11/10/2008,End of Exp.,"bought from Qualipet on 22.10.08, birthday estimated",FALSE
b18r6,ZF,F,11/8/2008,3,,b3r5,o7r5,6/25/2009,NE,"Not found in R4 on 24 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
b18r7,ZF,M,3/13/2009,2,,b6r5,r5y18,7/8/2009,End of Exp.,,FALSE
b19k-r11,ZF,M,4/3/2006,0,,red11,purple8,11/1/2006,End of Exp.,,FALSE
b19o-sb,ZF,F,6/27/2006,0,,silverblack,purple17,10/6/2006,NE,,FALSE
b19p-s14k,ZF,F,12/31/2006,0,,s14k-r16,p3o-sb,5/18/2007,End of Exp.,DOUBLE,FALSE
b19p-s3k,ZF,F,2/19/2007,2,,s3k-y8,k9k-ch900,12/3/2007,End of Exp.,DOUBLE,FALSE
b19r1,ZF,F,6/8/2007,3,,yellow20,blue2,11/1/2007,Given away,Given away to Johanna,FALSE
b19r2,ZF,F,10/15/2007,3,,g2r1,r1y17,8/21/2008,NE,euthanized,FALSE
b19r3,ZF,F,1/27/2008,5,,silver15,o8p-y8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b19r4,ZF,F,4/10/2008,5,,o1r1,r7g-yellow8,8/21/2008,NE,euthanized,FALSE
b19r5,ZF,M,6/22/2008,0,,,,10/29/2008,End of Exp.,"bought from Qualipet on 22.10.08, birthday estimated",FALSE
b19r6,ZF,M,11/8/2008,3,,b3r5,o7r5,3/5/2009,Surgery,Died under anestia,FALSE
b19r7,ZF,M,3/13/2009,5,,o5r6,g2r5,5/13/2009,NE,"after isolation in isochambers, the bird after 2 days looked very ill and trembled a lot.. No recovery, therefore the bird was given an overdose.",FALSE
b19r8,ZF,M,4/30/2009,0,O2,,,,,Bought from Qualipet on 31 Aug. 2009. Estimated age.,FALSE
b1b2,ZF,M,1/30/2009,5,,b3r5,o7r5,7/7/2009,End of Exp.,reserved for michael,FALSE
b1o-b3k,ZF,F,4/1/2006,0,,b3k,blue3,10/6/2006,NE,,FALSE
b1p-red11,ZF,M,11/23/2006,2,,red11,purple16,2/12/2007,End of Exp.,,FALSE
b1r1,ZF,M,3/29/2007,5,,silverblack,blue3,8/31/2007,End of Exp.,,FALSE
b1r10,ZF,M,9/1/2009,2,KM,r5y15,o12r3,,,,FALSE
b1r2,ZF,M,8/17/2007,5,,s2b-y8,r8p-s19o,6/25/2008,End of Exp.,,FALSE
b1r3,ZF,,1/6/2008,2,,silvergreen8,green16,2/8/2008,Perished,,FALSE
b1r4,ZF,F,3/18/2008,7,,k7r1,r14w-silver17,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b1r5,ZF,M,,0,,,,9/15/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b1r6,ZF,M,10/2/2008,6,,b13r3,p3o-sb,12/11/2008,End of Exp.,,FALSE
b1r7,ZF,F,12/5/2008,5,,p5r5,r2s18,4/13/2009,NE,cute white lil guy,FALSE
b1r8,ZF,M,5/18/2009,3,,k13r2,o2r5,8/6/2009,End of Exp.,Transferred in KO when 53 dph because of aggressive parents,FALSE
b20k-sg8,ZF,F,3/3/2006,0,,silvergreen8,purple5,2/16/2007,Given away,Given Away to Marianne,FALSE
b20o-ch900,ZF,F,3/24/2006,0,,goldch900,silver1,6/25/2009,NE,"Used as show girl. Not found in KM on 20 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
b20p-red16,ZF,,12/29/2006,4,,red16,green12,3/29/2007,End of Exp.,,FALSE
b20r1,ZF,M,6/8/2007,3,,yellow20,blue2,9/20/2008,End of Exp.,Reserved for Janie,FALSE
b20r2,ZF,M,10/15/2007,3,,g2r1,r1y17,6/14/2008,End of Exp.,,FALSE
b20r3,ZF,F,1/27/2008,5,,silver15,o8p-y8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b20r4,ZF,F,4/10/2008,5,,o1r1,r7g-yellow8,3/20/2009,NE,,FALSE
b20r7,ZF,,12/5/2008,5,,p5r5,r2s18,3/25/2009,End of Exp.,,FALSE
b20r8,ZF,M,4/30/2009,0,,,,11/2/2009,End of Exp.,Bought from Qualipet on 31 Aug. 2009. Estimated age.,FALSE
b2o-b3k,ZF,F,5/4/2006,3,,b3k,blue3,10/6/2006,NE,,FALSE
b2p-red11,ZF,M,11/23/2006,2,,red11,purple16,6/19/2007,End of Exp.,,FALSE
b2r1,ZF,M,3/29/2007,5,,silverblack,blue3,11/14/2007,NE,malformed feet. Could no longer grasp branches.,FALSE
b2r10,ZF,M,9/1/2009,2,KM,r5y15,o12r3,,,,FALSE
b2r2,ZF,F,8/17/2007,5,,s2b-y8,r8p-s19o,11/1/2007,Given away,Given away to Johanna,FALSE
b2r3,ZF,,1/6/2008,2,,silvergreen8,green16,2/2/2008,End of Exp.,,FALSE
b2r4,ZF,M,3/18/2008,7,,k7r1,r14w-silver17,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b2r5,ZF,M,,0,,,,11/4/2008,NE,bought from qualipet on 10.10.08. Bird found dead in cage after few days of illness.,FALSE
b2r6,ZF,F,11/12/2008,3,,b14r4,o12r3,3/20/2009,NE,,FALSE
b2r7,ZF,F,12/5/2008,5,,p5r5,r2s18,,,"cute lil white guy, bird is missing on june 15, 2009",FALSE
b2r8,ZF,,6/9/2009,4,,r7s5,p8r6,7/20/2009,NE,,FALSE
b3b4,ZF,M,1/30/2009,5,,b3r5,o7r5,5/11/2009,NE,,FALSE
b3k,ZF,M,,0,,,,7/2/2007,End of Exp.,father of  p16k-b3 (ibutenic acid NIf lesion),FALSE
b3o-b3k,ZF,F,5/4/2006,3,,b3k,blue3,10/6/2006,NE,,FALSE
b3p-red11,ZF,M,11/23/2006,4,,red11,purple16,3/29/2007,End of Exp.,,FALSE
b3r1,ZF,M,4/14/2007,3,,o4k-p2,green13,4/14/2007,End of Exp.,,FALSE
b3r10,ZF,M,9/1/2009,2,KM,r5y15,o12r3,,,,FALSE
b3r3,ZF,M,1/17/2008,4,,yellow10,o9o10,2/11/2008,End of Exp.,,FALSE
B3r4,ZF,F,3/3/2008,4,,g13p-purple20,r8p-s19o,6/25/2009,NE,"not in ZZ-U on 09.06.08. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
b3r5,ZF,M,,0,,,,4/13/2009,NE,bought from qualipet on 10.10.08,FALSE
b3r6,ZF,F,11/12/2008,3,,b14r4,o12r3,3/20/2009,NE,,FALSE
b3r7,ZF,F,12/5/2008,5,,p5r5,r2s18,3/14/2009,NE,cute lil white guy,FALSE
b3r8,ZF,,6/9/2009,4,,r7s5,p8r6,7/15/2009,NE,Bad feeding by the female,FALSE
b4o-b3k,ZF,M,5/4/2006,3,,b3k,blue3,8/9/2006,End of Exp.,,FALSE
b4p-red11,ZF,F,11/23/2006,4,,red11,purple16,10/4/2009,NE,,FALSE
b4r1,ZF,M,4/14/2007,3,,o4k-p2,green13,7/18/2007,End of Exp.,,FALSE
b4r10,ZF,M,9/27/2009,2,2O2,o10r8,r5s1,,,,FALSE
b4r2,ZF,M,8/17/2007,5,,s2b-y8,r8p-s19o,5/26/2008,End of Exp.,,FALSE
b4r3,ZF,F,12/4/2007,2,,yellow10,o9o10,4/28/2008,NE,one foot was missing. Euthanized.,FALSE
b4r4,ZF,F,4/2/2008,1,,o19r2,r2s20,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b4r5,ZF,M,,0,,,,,Given away,bought from qualipet on 10.10.08 (It's given away by Richard.),FALSE
b4r6,ZF,M,11/12/2008,3,,b14r4,o12r3,6/29/2009,End of Exp.,,FALSE
b4r7,ZF,F,2/6/2009,6,M2,b7r5,g19r2,,,,FALSE
b4r8,ZF,,6/9/2009,4,,r7s5,p8r6,7/21/2009,NE,,FALSE
b5o-g14k,ZF,M,5/10/2006,2,,g14k,orange16,9/28/2006,End of Exp.,TRC,FALSE
b5p-red11,ZF,M,11/23/2006,4,,red11,purple16,7/12/2007,End of Exp.,,FALSE
b5r1,ZF,M,4/14/2007,3,,o4k-p2,green13,9/18/2007,End of Exp.,,FALSE
b5r10,ZF,F,9/15/2009,3,2U1,p14k,r5s4,,,,FALSE
b5r2,ZF,M,8/17/2007,5,,s2b-y8,r8p-s19o,,,missing,FALSE
b5r3,ZF,F,12/4/2007,2,,yellow10,o9o10,2/26/2008,End of Exp.,,FALSE
b5r4,ZF,F,4/2/2008,1,,o19r2,r2s20,8/21/2008,NE,euthanized,FALSE
b5r5,ZF,M,,0,,,,10/14/2008,Surgery,bought from qualipet on 10.10.08,FALSE
b5r6,ZF,F,11/21/2008,5,,red11,b7br-b3k,,,"bird is missing on june 15, 2009",FALSE
b5r7,ZF,F,2/6/2009,6,U3,b7r5,g19r2,,,,FALSE
b5r8,ZF,M,6/9/2009,4,,r7s5,p8r6,9/18/2009,End of Exp.,Was isolated as juvenile,FALSE
b6k-s15,ZF,F,10/17/2005,0,,silver15,,2/16/2007,Given away,Given Away to Marianne,FALSE
b6o-p11k,ZF,M,6/6/2006,2,,p11k-ch900,g16k,4/10/2007,End of Exp.,,FALSE
b6p-yellow20,ZF,M,11/17/2006,0,,yellow20,blue2,2/15/2007,Surgery,,FALSE
b6r1,ZF,F,6/3/2007,4,,s3k-y8,k9k-ch900,11/1/2007,Given away,Given away to Johanna,FALSE
b6r3,ZF,M,12/4/2007,2,,yellow10,o9o10,8/18/2008,End of Exp.,(kotowicz): I found this bird in M6 and it looked very bad. It was bleeding and was missing many feathers. I decided to put it back to its parents in M3B     Moritz> looked fine to me and was transferred to KO,FALSE
b6r4,ZF,M,4/2/2008,1,,o19r2,r2s20,8/28/2008,End of Exp.,crappy sound!!!!,FALSE
b6r5,ZF,M,,0,,,,8/7/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b6r6,ZF,M,11/21/2008,5,,red11,b7br-b3k,6/4/2009,End of Exp.,,FALSE
b6r7,ZF,F,,0,,,,6/24/2009,End of Exp.,"created, cause found but not in db, June 15, 2009, michael",FALSE
b6r8,ZF,M,6/5/2009,4,,r7p1,p13r5,7/30/2009,Perished,found bird dead in cage,FALSE
b7br-b3k,ZF,F,3/24/2007,5,FJ7,b3k,green9,,,,FALSE
b7o-p11k,ZF,M,6/6/2006,2,,p11k-ch900,g16k,11/20/2006,End of Exp.,,FALSE
b7p-y13k,ZF,F,12/22/2006,2,,y13k-s17,purple5,4/20/2007,End of Exp.,,FALSE
b7r1,ZF,M,6/3/2007,4,,s3k-y8,k9k-ch900,12/10/2007,End of Exp.,,FALSE
b7r10,ZF,M,9/15/2009,3,2U1,p14k,r5s4,,,,FALSE
b7r3,ZF,M,12/4/2007,2,,yellow10,o9o10,12/11/2008,End of Exp.,,FALSE
b7r4,ZF,M,3/27/2008,1,,o20o,r16o-r11,8/17/2008,End of Exp.,,FALSE
b7r5,ZF,M,,0,,,,6/17/2009,End of Exp.,"bought from qualipet on 10.10.08, reserved for michael",FALSE
b7r6,ZF,F,11/21/2008,5,,red11,b7br-b3k,3/20/2009,NE,,FALSE
b7r7,ZF,M,2/4/2009,7,O6,p2r5,r2y1,,,,FALSE
b7r8,ZF,,6/5/2009,4,,r7p1,p13r5,8/22/2009,NE,,FALSE
b8,BF,F,,0,,,,10/19/2007,Perished,was sick (Legestau) and therefore killed. Moritz,FALSE
b8br-b3k,ZF,F,3/24/2007,5,,b3k,green9,7/24/2007,Given away,Given away to Johanna,FALSE
b8k,ZF,F,11/1/2005,0,,,,2/16/2007,Given away,Given Away to Marianne,FALSE
b8o-p11k,ZF,M,6/6/2006,2,,p11k-ch900,g16k,10/2/2008,Surgery,Bird died after a Nembutal injection during experiment,FALSE
b8p-s14k,ZF,M,12/31/2006,0,,s14k-r16,p3o-sb,5/22/2009,NE,Euthanized due to swollen foot on 'p' leg,FALSE
b8r1,ZF,F,6/1/2007,2,,red14,red2,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
b8r10,ZF,M,9/15/2009,3,2U1,p14k,r5s4,,,,FALSE
b8r3,ZF,M,1/17/2008,4,,yellow10,o9o10,2/14/2008,End of Exp.,,FALSE
b8r4,ZF,M,4/2/2008,0,,g12r2,p10r2,8/18/2008,End of Exp.,,FALSE
b8r5,ZF,M,,0,,,,10/20/2008,End of Exp.,bought from qualipet on 10.10.08,FALSE
b8r6,ZF,M,11/21/2008,5,,red11,b7br-b3k,3/16/2009,End of Exp.,,FALSE
b8r7,ZF,M,2/4/2009,7,R8,p2r5,r2y1,,,reserved for gokcen,TRUE
b8r8,ZF,,6/5/2009,4,,r7p1,p13r5,11/3/2009,NE,,FALSE
b9o-p11k,ZF,M,6/6/2006,2,,p11k-ch900,g16k,3/22/2007,End of Exp.,,FALSE
b9p-red16,ZF,F,12/29/2006,4,,red16,green12,6/25/2009,NE,"not in U1 - missing. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
b9r1,ZF,F,6/8/2007,3,,yellow20,blue2,11/1/2007,Given away,Given away to Johanna,FALSE
b9r2,ZF,F,8/17/2007,5,,s2b-y8,r8p-s19o,11/1/2007,Given away,Given away to Johanna,FALSE
b9r4,ZF,F,4/2/2008,0,,g12r2,p10r2,,,"bird is missing on june 15, 2009",FALSE
b9r5,ZF,M,,0,,,,6/19/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b9r6,ZF,F,11/21/2008,5,,red11,b7br-b3k,3/20/2009,NE,,FALSE
b9r7,ZF,M,2/4/2009,7,,p2r5,r2s18,4/14/2009,NE,bird was sick.,FALSE
basdfa,ZF,,5/27/2007,3,,goldch900,purple17,,,,FALSE
blue10,ZF,F,3/1/2005,0,,,,7/24/2007,Given away,Given away to Johanna,FALSE
blue18,ZF,F,,0,,,,6/16/2006,NE,"Do not use for coupling! -> abgegeben an Z""uchter",FALSE
blue2,ZF,F,4/22/2005,0,,,,3/20/2009,NE,,FALSE
blue3,ZF,F,4/22/2005,0,,,,7/24/2007,Given away,Given away to Johanna,FALSE
blue7,ZF,F,,3,,,,,,is here in the database entered as to be located in M5. I found it ( did I?) in U1 and I gave it away….. Because I couldn't find an entry.,FALSE
B-R-K209-64,BF,F,1/1/2007,0,A,,,,,white bird,FALSE
ch8587,ZF,M,8/7/2008,0,,,,12/4/2008,End of Exp.,bought from qualipet on 07.11.08. birthday estimated (minimum age).,FALSE
cj1,ZF,M,5/26/2008,2,,g8r2,b11r2,8/13/2008,End of Exp.,,FALSE
cj10,ZF,,3/13/2009,5,,o5r6,g2r5,7/9/2009,End of Exp.,,FALSE
cj11,ZF,M,6/2/2009,3,,g13r8,r2s20,7/20/2009,Surgery,,FALSE
cj2,ZF,M,6/30/2008,5,,r2s6,r2y1,8/15/2008,End of Exp.,,FALSE
cj3,ZF,M,6/26/2008,7,,g12r2,p10r2,9/1/2008,End of Exp.,,FALSE
cj4,ZF,M,7/7/2008,3,,p16p-r11,green10,9/8/2008,End of Exp.,,FALSE
cj5,ZF,M,8/7/2008,4,,b14r3,r1y17,9/29/2008,Perished,,FALSE
cj7,ZF,,2/6/2009,6,,b7r5,g19r2,4/3/2009,End of Exp.,,FALSE
cj8,ZF,M,2/6/2009,6,,b7r5,g19r2,3/24/2009,End of Exp.,,FALSE
cj9,ZF,,2/20/2009,1,,red11,b7br-b3k,4/30/2009,End of Exp.,,FALSE
d2M2e,ZF,,2/4/2009,7,,p5r5,r2s18,3/19/2009,NE,,FALSE
ddJM6e,ZF,,9/23/2009,6,,o5r8,k10r2,11/23/2009,NE,Found dead in cage.,FALSE
delete,ZF,,,0,,p8r8,,,,,FALSE
demo,ZF,,1/1/2007,0,,p7r8k,,,,,FALSE
