ID,Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
810,K-G-K209-19,BF,u,,0,A,,,,,"Found in cage A on 25 Aug, 2009 - Janie",0
828,o10w,BF,m,,0,,,,2008-02-22,NE,broken toe?,0
947,o20o,ZF,m,,0,,,,2008-09-29,End of Exp.,,0
1049,orange16,ZF,f,,0,,,,2008-11-01,NE,has 2 rings (green018ch) Show girl.,0
1050,orange3,ZF,m,,0,,,,,,missing,0
1053,p10p,BF,u,,0,A,,,,,"Found in cage A on 25 Aug, 2009 - Janie",0
1095,p14k,ZF,m,,0,2U1,,,,,"Found in KO on 20 June 2009, no record in database. -Janie",0
1124,p16r5-michi,ZF,m,,0,,,,2009-06-23,End of Exp.,this bird should already be dead so I made this dbbird to track it further,0
1159,p1r5,ZF,m,,0,,,,2009-08-30,End of Exp.,"bought from breader, 3rd Oct 2008, Reserved for Janie",0
1178,p2r5,ZF,m,,0,U3,,,,,"Breeder. bought from breader, 3rd Oct 2008.",1
1188,p3r5,ZF,m,,0,,,,2008-10-23,End of Exp.,"DO NOT USE for breeding! Bought from breader, 3rd Oct 2008",0
1198,p4r5,ZF,m,,0,,,,2009-03-11,End of Exp.,"bought from breader, 3rd Oct 2008",0
1209,p5r5,ZF,m,,0,,,,2009-05-11,Surgery,"bought from breader, 3rd Oct 2008",0
1220,p6r5,ZF,m,,0,,,,2008-10-24,NE,"DO NOT USE for breeding! Bought from breader, 3rd Oct 2008. This bird does not sing in 8 days of ISO recording <janie>. Bird died during health observation.",0
1262,r011,ZF,m,,0,M7,,,,,"bought from breader, 3rd Oct 2008, has one red 011 ring.",0
1535,r5y9,ZF,m,,0,,,,2009-07-20,End of Exp.,bought from qualipet on 07.11.08. birthday estimated (minimum age).,0
1660,red11,ZF,m,,0,,,,2009-07-09,End of Exp.,"One of the offspring when together p3o-sb had white feathers, don't use again if not needed",0
1663,red2,ZF,f,,0,,,,2007-11-01,Given away,Given away to Johanna,0
1664,red5,ZF,f,,0,,,,2009-06-17,End of Exp.,,0
1686,s15o,ZF,m,,0,,,,2007-04-12,End of Exp.,,0
1688,s16o,ZF,m,,0,,,,2006-12-12,End of Exp.,Reserved by Claude. Strange song (2 Syllables).,0
1691,s17o,ZF,m,,0,,,,2009-06-25,NE,"This bird's offspring were WHITE!!! Don't use  for breeding unless necessary. Not found in KM on 20 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009).",0
1694,s18o,ZF,m,,0,,,,2007-05-29,End of Exp.,,0
1699,s19o,ZF,m,,0,,,,2007-04-02,NE,Killed bird because of a large (ca. 5 mm diam) cyst below the right eye.,0
1721,s4k,ZF,m,,0,,,,2006-06-08,End of Exp.,Place and date of birth: Q(5~8 month old since 19.01.2006),0
1747,silver1,ZF,f,,0,,,,2007-08-11,NE,injured bird.,0
1750,silver2,ZF,m,,0,,,,2007-05-29,End of Exp.,,0
1751,silver5y11,BF,u,,0,A,,,,,"Found in cage A on 25 Aug, 2009 - Janie",0
1753,silverblack,ZF,m,,1,,,,2008-10-01,End of Exp.,good singer,0
1755,stumpy-r8,BF,u,,0,A,,,,,"Found in cage A on 25 Aug, 2009 - Janie. This bird has only one leg.",0
1850,yellow1,ZF,m,,N3,,,,2008-06-06,NE,"broken foot, had to be killed",0
1851,yellow10,ZF,m,,0,,,,,,missing,0
1853,yellow20,ZF,m,,0,,,,2009-06-23,End of Exp.,found in KM on 24 March 2009. Reserved for Janie,0
1854,yellow6,ZF,m,,0,,,,2009-06-25,NE,"Not found, presumed dead. (-janie, 25.june.2009).",0
1855,yellow8,ZF,m,,0,,,,2007-05-24,End of Exp.,,0
1258,purple20,ZF,m,2004-05-26,0,,,,2009-09-16,NE,"Oedipus, the legendary. First bird born at INI. Had first microdrive for 4 weeks and two other surgeries. Father of many juveniles. Good singer. Killed his father and got his mother pregnant.",0
1257,purple2,ZF,f,2004-07-21,0,,,,2006-06-16,NE,"-> abgegeben an Z""uchter",0
1259,purple5,ZF,f,2004-09-12,0,,,,2007-07-24,Given away,Given away to Johanna,0
1260,purple8,ZF,m,2004-10-24,0,,,,2009-01-19,End of Exp.,,0
1752,silver6,ZF,m,2004-12-09,0,,,,2006-06-11,End of Exp.,,0
625,green9,ZF,f,2004-12-30,0,,,,2007-07-10,End of Exp.,,0
1754,silvergreen8,ZF,m,2005-01-01,0,,,,2009-01-14,End of Exp.,Researved by Claude for MMAN lesion experiment!!! (estimated birthday),0
239,blue10,ZF,f,2005-03-01,0,,,,2007-07-24,Given away,Given away to Johanna,0
1661,red14,ZF,m,2005-03-01,0,,,,2007-10-13,End of Exp.,,0
1254,purple13,ZF,f,2005-03-26,0,,,,2008-08-21,NE,euthanized,0
1256,purple17,ZF,f,2005-04-14,4,,,,2009-06-25,NE,"missing since 3.7.08. Not found, presumed dead. (-janie, 25.june.2009).",0
1749,Silver17,ZF,m,2005-04-14,4,,,,2007-06-05,End of Exp.,father of o5k-s17 (ibutenic acid lesion) Perfusion,0
1748,silver15,ZF,m,2005-04-18,0,,,,2008-09-22,End of Exp.,,0
241,blue2,ZF,f,2005-04-22,0,,,,2009-03-20,NE,,0
242,blue3,ZF,f,2005-04-22,0,,,,2007-07-24,Given away,Given away to Johanna,0
1662,red16,ZF,m,2005-05-01,0,,,,2008-10-27,End of Exp.,Neezer estimated birthday,0
621,green14,ZF,f,2005-05-19,0,,,,2006-05-12,NE,,0
622,green16,ZF,f,2005-05-19,0,,,,2009-03-20,NE,,0
1852,yellow14,ZF,m,2005-08-02,0,,,,2007-05-29,End of Exp.,,0
548,g4k,ZF,f,2005-08-19,0,,,,2007-11-01,Given away,Given away to Johanna,0
560,g5k,ZF,f,2005-08-22,0,,,,2007-07-23,End of Exp.,,0
1153,p1k,ZF,f,2005-09-02,0,,,,2007-02-16,Given away,Given Away to Marianne,0
1202,p5k-y8,ZF,f,2005-10-02,0,,yellow8,,2007-02-16,Given away,Given Away to Marianne,0
1213,p6k-y8,ZF,f,2005-10-03,0,,,,2007-11-17,NE,"swollen left foot, unable to stand.",0
1221,p7k,ZF,f,2005-10-03,0,,,,2007-02-16,Given away,Given Away to Marianne,0
572,g6k-b12,ZF,f,2005-10-05,0,,,,2007-02-16,Given away,Given Away to Marianne,0
1096,p14k-p2,ZF,m,2005-10-10,0,,purple2,,2008-12-05,NE,Had two badly swolen and infected feet. Was killed. Moritz,0
1051,p10k-y1,ZF,f,2005-10-11,0,,yellow1,,2007-02-16,Given away,Given Away to Marianne,0
1145,p19k-o3,ZF,f,2005-10-11,0,,orange3,,2008-03-14,NE,"very long beak, kill asap? Done! Moritz",0
196,b6k-s15,ZF,f,2005-10-17,0,,silver15,,2007-02-16,Given away,Given Away to Marianne,0
1232,p8k,ZF,f,2005-10-17,0,,,,2007-07-27,End of Exp.,,0
1438,r4k-sk,ZF,m,2005-10-20,0,,silverblack,,2006-06-14,End of Exp.,The Stim. Electrodes detached from skull during exp.,0
219,b8k,ZF,f,2005-11-01,0,,,,2007-02-16,Given away,Given Away to Marianne,0
1063,p11k-ch900,ZF,m,2005-11-07,0,,,,,Perished,in IS4 and IS1 as tutor. Did not entred in the database when I changed between IS1 and 4.,0
413,g12k-y8,ZF,f,2005-11-14,0,,yellow8,,2006-11-15,End of Exp.,Used as show girl.,0
1716,s3k-y8,ZF,m,2005-11-14,0,KM,,,,,Andreas,0
1807,y13k-s17,ZF,m,2005-11-23,0,,silver17,,2008-01-11,,,0
1811,y14k-s17,ZF,m,2005-11-23,0,,silver17,,2006-06-06,Perished,Dead two days after Nif lesion.,0
1014,o7k-y14,ZF,f,2005-12-25,0,,yellow14,blue2,2006-09-08,End of Exp.,Used as showgirl. Killed for anatomical study. Found oval window beautifully.,0
1759,tweak11,ZF,u,2006-01-01,0,,p13r8,,,,,1
1760,tweak13,ZF,u,2006-01-01,0,,r6s5,,,,,0
1767,tweak2,ZF,u,2006-01-01,0,,p1r5,,,,,0
1774,tweak3,ZF,u,2006-01-01,0,,r5y15,,,,,0
1785,tweak4,ZF,u,2006-01-01,0,,o1r8,,,,,0
1786,tweak5,ZF,u,2006-01-01,0,,o7r8,,,,,0
1787,tweak6,ZF,u,2006-01-01,0,,purple022,,,,,0
1790,tweak7,ZF,u,2006-01-01,0,,o10r8,,,,,0
1791,tweak8,ZF,u,2006-01-01,0,,s14k-r16,,,,,0
1792,tweak9,ZF,u,2006-01-01,0,,y7o-r16,,,,,0
11,b10k-y6,ZF,m,2006-01-02,0,,yellow6,,2006-09-24,NE,One syllable.,0
469,g17k-p2,ZF,m,2006-01-02,0,,purple2,,2006-07-14,End of Exp.,,0
980,o4k-p2,ZF,m,2006-01-02,0,,purple2,yellow8,2008-01-30,End of Exp.,His black ring is gone. Please ring again. Data recorded from o14k-sb under his name. Claude gave him a black ring on 16.09.2006. Swollen feet with the black ring. The other ring is lost. Claude kill it for cohlea removal practice. 30.01.2008.,0
1127,p17k-y6,ZF,m,2006-01-02,0,,yellow6,,2007-01-09,End of Exp.,the k ring is lost Katja,0
481,g18k-y6,ZF,f,2006-01-05,0,,yellow6,,2009-03-20,NE,,0
757,k3k-s17,ZF,f,2006-01-05,0,,silver17,,2007-02-16,Given away,Given Away to Marianne,0
1027,o8k-y6,ZF,m,2006-01-05,0,,yellow6,,2008-01-22,End of Exp.,Song: A-B-B-C. Reserved by Claude.,0
992,o5k-s17,ZF,m,2006-01-10,0,,silver17,blue10,2006-08-11,End of Exp.,the bird has some sheets and data with the name o15k or even o25k.,0
1136,p18k-s6,ZF,m,2006-01-10,0,,silver6,green9,2007-02-09,End of Exp.,"Georg - DO NOT USE! Strange song, very long ISI - recovered song and sings normally now.",0
1657,r9k-s17,ZF,m,2006-01-10,0,,,,2007-08-27,Perished,,0
1284,r11k-y1,ZF,m,2006-01-11,0,,yellow1,,2006-06-16,End of Exp.,,0
1288,r12k-ch900,ZF,m,2006-01-12,0,,,,2008-09-09,End of Exp.,Reserved by Janie,0
1116,p16k-b3,ZF,m,2006-01-13,0,,blue3,,2006-08-11,End of Exp.,Nif lesion,0
1816,y16k-b3,ZF,m,2006-01-13,0,,blue3,,2006-06-01,End of Exp.,serves as control for p16k-b3,0
774,k5k-s15,ZF,f,2006-02-10,0,,silver15,,2007-02-16,Given away,Given Away to Marianne,0
805,k9k-ch900,ZF,f,2006-02-14,0,,,,2009-02-17,NE,"Euthanized, very old lady bird, she was pecking herself until she bled…",0
783,k6k-g14k,ZF,m,2006-02-17,4,,g14k,orange16,2006-07-25,End of Exp.,,0
816,o10k-g14,ZF,m,2006-02-17,0,,g14k,,2006-04-28,End of Exp.,,0
1729,s6k-g14x,ZF,m,2006-02-22,0,,g14k,,2006-04-29,Surgery,,0
789,k7k-b3k,ZF,f,2006-02-24,0,,b3k,blue3,2006-11-14,Surgery,,0
797,k8k-b3k,ZF,m,2006-02-24,,,b3k,blue3,2006-10-04,End of Exp.,"good sleep activity in RA, slept very good",0
1733,s7k-b3k,ZF,m,2006-02-24,0,,b3k,blue3,2007-01-10,End of Exp.,,0
1675,s12k-y6,ZF,f,2006-02-27,0,,yellow6,green10,2006-11-22,NE,Bird broke a leg.,0
1678,s13k-y6,ZF,f,2006-02-27,0,,yellow6,green10,2006-10-06,NE,,0
56,b14k-p11k,ZF,m,2006-03-02,0,,p11k-ch900,g16k,2006-06-28,End of Exp.,,0
1742,s9k-p11k,ZF,m,2006-03-02,0,,p11k-ch900,g16k,2006-06-06,End of Exp.,,0
69,b15k-p11k,ZF,f,2006-03-03,0,,p11k-ch900,g16k,2006-10-06,NE,,0
141,b20k-sg8,ZF,f,2006-03-03,0,,silvergreen8,purple5,2007-02-16,Given away,Given Away to Marianne,0
669,k10k-p11k,ZF,f,2006-03-03,0,,p11k-ch900,g16k,2008-08-21,NE,euthanized. Offered Bird to employee Franco Patituci Tel 50376?? Came back,0
676,k11k-p11k,ZF,f,2006-03-03,0,,p11k-ch900,g16k,2007-02-16,Given away,Given Away to Marianne,0
741,k20k-sg8,ZF,m,2006-03-03,0,,silvergreen8,purple5,2006-06-06,End of Exp.,,0
946,o20k-sg8,ZF,m,2006-03-03,0,,silvergreen8,purple5,2007-04-03,End of Exp.,"Short song, iABC. Reserved by Claude for Richard.",0
1163,p20k-sg8,ZF,m,2006-03-03,0,,silvergreen8,purple5,2006-07-14,End of Exp.,,0
1671,s11k-sg8,ZF,f,2006-03-03,0,,silvergreen8,purple5,2006-06-16,NE,"-> abgegeben an Z""uchter",0
1706,s20k-sg8,ZF,f,2006-03-03,0,,silvergreen8,purple5,2007-05-11,End of Exp.,"Probably lost ring ""s20"". Now only has a black ring.",0
1737,s8k-p11k,ZF,f,2006-03-03,0,,p11k-ch900,g16k,2007-06-25,End of Exp.,,0
709,k16k-p20,ZF,f,2006-03-19,0,,purple20,purple13,2006-06-16,NE,"don't know the sex. If you know, please transfer.         --> abgegeben an Z""uchter",0
890,o16k-p20,ZF,m,2006-03-19,0,,purple20,purple13,2006-06-14,End of Exp.,,0
1687,s16k-p20,ZF,m,2006-03-19,3,,purple20,purple13,2006-07-07,End of Exp.,,0
516,g20o-ch900,ZF,m,2006-03-23,0,,goldch900,silver1,2007-01-27,End of Exp.,Sleep most of time after bilateral lesion.,0
948,o20o-ch900,ZF,m,2006-03-23,0,,goldch900,silver1,2007-09-13,Perished,Hurt his wing in breeding cage and died (Johanna found the bird),0
142,b20o-ch900,ZF,f,2006-03-24,0,,goldch900,silver1,2009-06-25,NE,"Used as show girl. Not found in KM on 20 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009)",0
330,dJO1f,ZF,u,2006-03-24,0,,purple20,purple13,2006-04-28,NE,,0
829,o11k-p20,ZF,f,2006-03-24,0,,purple20,purple13,2006-06-16,NE,"-> abgegeben an Z""uchter",0
842,o12k-p20,ZF,f,2006-03-24,0,,purple20,purple13,2006-10-06,NE,,0
1707,s20o-ch900,ZF,f,2006-03-24,0,,goldch900,silver1,2007-02-16,Given away,Given away to Marianne,0
505,g1o-g14k,ZF,m,2006-03-26,0,,g14k,orange16,2008-07-25,End of Exp.,,0
702,k15k-g14k,ZF,f,2006-03-26,0,,g14k,orange16,2006-05-25,NE,Killed due to her white color.,0
716,k17k-g14k,ZF,f,2006-03-26,0,,g14k,orange16,2006-05-25,NE,Killed due to her white color.,0
911,o18k-g14k,ZF,f,2006-03-26,0,,g14k,orange16,2006-05-25,NE,Killed because white.,0
902,o17k-g14k,ZF,m,2006-03-29,0,,g14k,orange16,2006-08-29,End of Exp.,IS7=time reversed,0
130,b1o-b3k,ZF,f,2006-04-01,0,,b3k,blue3,2006-10-06,NE,,0
727,k19k-g14k,ZF,m,2006-04-01,0,,g14k,orange16,2007-03-13,End of Exp.,,0
935,o1o-b3k,ZF,f,2006-04-01,0,,b3k,blue3,2006-10-06,NE,,0
1154,p1o-b3k,ZF,f,2006-04-01,0,,b3k,blue3,2006-12-05,NE,Show Girl,0
82,b16k-r16,ZF,m,2006-04-03,5,,red16,green12,2007-01-12,End of Exp.,"very nervous in setup, do not put in small cages for experiment",0
116,b19k-r11,ZF,m,2006-04-03,0,,red11,purple8,2006-11-01,End of Exp.,,0
689,k13k-r16,ZF,m,2006-04-03,5,,red16,green12,2006-06-24,End of Exp.,,0
696,k14k-sb,ZF,m,2006-04-03,0,,silverblack,purple17,2006-11-17,NE,Bird broke leg.,0
722,k18k-r11,ZF,m,2006-04-03,0,,red11,purple8,2007-01-04,End of Exp.,,0
1685,s15k-r16,ZF,m,2006-04-03,5,,red16,green12,2006-08-03,End of Exp.,,0
1690,s17k-r11,ZF,f,2006-04-03,0,,red11,purple8,2007-02-16,Given away,Given Away to Marianne,0
854,o13k-sb,ZF,f,2006-04-04,0,,silverblack,purple17,2006-10-06,NE,,0
867,o14k-sb,ZF,m,2006-04-04,0,,silverblack,purple17,2006-08-22,End of Exp.,recorded data as ok4-p2,0
1693,s18k-r11,ZF,f,2006-04-07,0,,red11,purple8,2006-06-16,NE,"-> abgegeben an Z""uchter",0
1698,s19k-r11,ZF,f,2006-04-07,0,,red11,purple8,2006-06-16,NE,"-> abgegeben an Z""uchter",0
922,o19k-r16,ZF,m,2006-04-08,5,,red16,green12,2006-06-20,End of Exp.,,0
1681,s14k-r16,ZF,m,2006-04-08,5,,red16,green12,2008-09-01,End of Exp.,Florian. Coupled by Claude.,0
94,b17k-sb,ZF,f,2006-04-13,0,,silverblack,purple17,2006-10-06,NE,,0
1666,s10k-sb,ZF,f,2006-04-13,0,,silverblack,purple17,2006-10-06,NE,,0
1491,r5o-s2,ZF,m,2006-04-15,0,,silver2,p6k-y8,2007-05-10,End of Exp.,,0
1536,r6o-s2,ZF,m,2006-04-15,0,,silver2,p6k-y8,2007-06-06,End of Exp.,,0
1616,r8o-s2,ZF,f,2006-04-16,0,,silver2,p6k-y8,2006-10-06,NE,,0
1658,r9o-s2,ZF,f,2006-04-16,0,,silver2,p6k-y8,2006-10-06,NE,Used as show girl,0
1255,purple16,ZF,f,2006-04-18,0,,,,2009-08-22,NE,,0
1310,r1o-p11k,ZF,m,2006-04-20,4,,p11k-ch900,g16k,2006-11-13,End of Exp.,,0
1352,r2o-p11k,ZF,m,2006-04-20,4,,p11k-ch900,g16k,2006-08-11,End of Exp.,,0
1400,r3o-p11k,ZF,f,2006-04-20,4,,p11k-ch900,g16k,2006-06-04,Perished,Ibutenic acid lesion….,0
1441,r4o-p11k,ZF,f,2006-04-20,4,,p11k-ch900,g16k,2006-08-11,End of Exp.,,0
1575,r7o-p11k,ZF,f,2006-04-20,4,,p11k-ch900,g16k,2007-02-16,Given away,Given Away to Marianne,0
1164,p20o-o4k,ZF,m,2006-04-28,0,,o4k-p2,green13,2007-05-22,End of Exp.,,0
1825,y1o-o4k,ZF,m,2006-04-28,0,,o4k-p2,green13,2006-07-10,End of Exp.,,0
1828,y20o-o4k,ZF,m,2006-04-28,0,,o4k-p2,green13,2007-03-16,End of Exp.,Reserved by Claude. Used by Aymeric for Acute Exp.,0
1833,y3o-p11k,ZF,f,2006-04-28,4,,p11k-ch900,g16k,2006-10-06,NE,,0
1348,r20o-o4k,ZF,f,2006-04-29,1,,o4k-p2,green13,2006-10-06,NE,,0
1830,y2o-o4k,ZF,f,2006-04-29,1,,o4k-p2,green13,2009-06-25,NE,"Was not in U1 when we transferred females from U1 to UK. Not found, presumed dead. (-janie, 25.june.2009).",0
1848,y9o-o4k,ZF,m,2006-04-29,1,,o4k-p2,green13,2006-10-02,End of Exp.,,0
151,b2o-b3k,ZF,f,2006-05-04,3,,b3k,blue3,2006-10-06,NE,,0
164,b3o-b3k,ZF,f,2006-05-04,3,,b3k,blue3,2006-10-06,NE,,0
174,b4o-b3k,ZF,m,2006-05-04,3,,b3k,blue3,2006-08-09,End of Exp.,,0
185,b5o-g14k,ZF,m,2006-05-10,2,,g14k,orange16,2006-09-28,End of Exp.,TRC,0
1172,p2o-g14k,ZF,m,2006-05-10,2,,g14k,orange16,2007-03-29,End of Exp.,Reserved by Claude.,0
340,dJO5a,ZF,u,2006-05-11,0,,r12k-ch900,g4k,2005-05-19,NE,,0
311,dJM3d,ZF,u,2006-05-15,2,,red16,green12,2006-05-25,NE,Dead in the cage.,0
526,g2o-r16,ZF,m,2006-05-15,2,,red16,green12,2006-06-19,End of Exp.,,0
1192,p4o-sb,ZF,m,2006-05-15,2,,silverblack,purple17,2006-12-28,End of Exp.,,0
1203,p5o-sb,ZF,m,2006-05-15,2,,silverblack,purple17,2006-08-04,End of Exp.,,0
1214,p6o-sb,ZF,m,2006-05-15,2,,silverblack,purple17,2007-03-23,End of Exp.,Reserved by Claude.,0
1844,y7o-r16,ZF,m,2006-05-15,2,,red16,green12,2009-02-19,Surgery,,0
1846,y8o-r16,ZF,f,2006-05-15,2,,red16,green12,2008-08-21,NE,euthanized,0
1182,p3o-sb,ZF,f,2006-05-17,2,R7,silverblack,purple17,,,,0
537,g3o-r11,ZF,m,2006-05-19,0,,red11,purple8,2006-10-18,End of Exp.,no sleep bursts,0
549,g4o-r11,ZF,f,2006-05-19,0,,red11,purple8,2006-10-06,NE,,0
1222,p7o-y13k,ZF,f,2006-05-28,0,,y13k-s17,p19k-o3,2006-10-06,NE,,0
1246,p9o-y13k,ZF,m,2006-05-28,0,,y13k-s17,p19k-o3,2006-11-29,End of Exp.,,0
313,dJM4a,ZF,u,2006-06-02,0,,silver2,p6k-y8,2006-06-09,NE,,0
573,g6o-r12k,ZF,m,2006-06-02,0,,r12k-ch900,g4k,2006-10-23,End of Exp.,,0
584,g7o-r12k,ZF,m,2006-06-02,0,,r12k-ch900,g4k,2006-11-06,End of Exp.,,0
597,g8o-r12k,ZF,m,2006-06-02,0,,r12k-ch900,g4k,2006-12-14,End of Exp.,,0
607,g9o-r12k,ZF,m,2006-06-02,0,,r12k-ch900,g4k,2006-12-08,End of Exp.,,0
1005,o6o-r12k,ZF,m,2006-06-02,0,,r12k-ch900,g4k,2007-05-03,End of Exp.,,0
1028,o8o-s3k,ZF,f,2006-06-02,0,,s3k-y8,g1k,2006-10-06,NE,,0
1040,o9o-s3k,ZF,f,2006-06-02,0,,s3k-y8,g1k,2006-10-06,NE,,0
1840,y5o-s3k,ZF,m,2006-06-02,0,,s3k-y8,g1k,2008-02-04,NE,"Georg - do not use - tutoring bird still monitoring song, Only one syllable. Sick: swollen feet",0
1843,y6o-s3k,ZF,m,2006-06-02,0,,s3k-y8,g1k,2008-08-18,End of Exp.,Georg - do not use - tutoring bird still monitoring song,0
12,b10o-p11k,ZF,m,2006-06-06,2,,p11k-ch900,g16k,2007-01-16,End of Exp.,,0
23,b11o-p11k,ZF,m,2006-06-06,2,,p11k-ch900,g16k,2008-07-23,End of Exp.,,0
197,b6o-p11k,ZF,m,2006-06-06,2,,p11k-ch900,g16k,2007-04-10,End of Exp.,,0
207,b7o-p11k,ZF,m,2006-06-06,2,,p11k-ch900,g16k,2006-11-20,End of Exp.,,0
220,b8o-p11k,ZF,m,2006-06-06,2,,p11k-ch900,g16k,2008-10-02,Surgery,Bird died after a Nembutal injection during experiment,0
230,b9o-p11k,ZF,m,2006-06-06,2,,p11k-ch900,g16k,2007-03-22,End of Exp.,,0
46,b13o-g14k,ZF,m,2006-06-09,0,,g14k,orange16,2006-09-25,NE,found by Johanna in Cage M1. She wrote that she has found b3o*. But this bird is supposed to be a female that’s why I mark the b13o  as dead.,0
34,b12o-g14k,ZF,m,2006-06-12,0,,g14k,orange16,2007-04-17,End of Exp.,,0
957,o2o-g14k,ZF,f,2006-06-12,0,,g14k,orange16,2006-10-06,NE,,0
981,o4o-r14,ZF,f,2006-06-12,0,,red14,red2,2006-10-06,NE,,0
994,o5o-r14,ZF,f,2006-06-12,0,,red14,red2,2007-02-16,Given away,Given Away to Marianne,0
333,dJO3c,ZF,u,2006-06-13,0,,red14,red2,2006-06-16,NE,,0
334,dJO3e,ZF,u,2006-06-13,2,,red14,red2,2006-06-16,NE,,0
969,o3o-g14k,ZF,f,2006-06-13,0,,g14k,orange16,2006-10-06,NE,,0
