ID;Bird;Exp Name;Start Date;End Date;Setup;Data On;Backup On;PI;SG;Comment
57;s15k-r16;Acut;03.08.2006;03.08.2006;AS;Zing;Zut4/TEMP;Katja;2;"recording in RA and UVA; injection in UVA and NIF. Went OK."
58;p5o-sb;MD/NIf;24.07.2006;04.08.2006;E1;Zut;Lacie1TB;Georg;2;Found NIf during surgery but probably not during experiment. E3 broke on day 3 of the experiment probrbably because it was not raised before it was lowered. E1 and E2 had good data. MD2
59;b4o-b3k;acut;09.08.2006;09.08.2006;AS;Zing;;Katja;2;UVA recording and injection Lidocain 4% and Glutamate 200mM while recording in UVA
62;s3o-r16;song recording HVC inject;25.08.2006;25.08.2006;E2;;;Richard;2;Burned left HVC with cauterizer. Bird sings subsong two days later
63;b5o-g14k;SR;28.08.2006;25.09.2006;IS7;Zut3;;Katja;0;"TRC; 30/8/2006 destroy left HVC with cautarizer;"
64;g2o-r16;SR;28.08.2006;13.09.2006;IS3;Zut3;;Katja;0;
65;k8k-b3k;SR;28.08.2006;15.09.2006;IS5;Zut3;;Katja;0;
66;s2o-r16;SR;28.08.2006;19.09.2006;E1;Zut;;Georg;0;Song deteriorated after surgery. Bird did not regain any sterotyped song. Borke E1. Stopped experiment to start new MD experiment.
67;o17k-g14k;acut experiment;29.08.2006;29.08.2006;AS;Zing;;Katja;2;recording RA and UVA: Samplerate too low :(( Inject Lidocain and Glutamate into UVA and record RA: samplerate ok. No effect. Had a lot of problems. Maybe we didn't hit UVA or. Check Histologie. In the end we tested Iontophoretic application of Fluoruby and Fast green. The colors went in, but no effect on RA due to Glutamate injection into HVC: maybe too late don't know.
68;o14k-sb;acut;22.08.2006;22.08.2006;AS;Zirkel;Lacie1TB;Katja;2;Record UVA and NIF while BOS and spontaneaous. Injecting Lidocain or Glutamate (with Fluo-Ruby) into UVA while recording in RA. With and Without BOS playback.
69;b14o-sb;Surgery;06.09.2006;07.09.2006;E2;;;Richard;2;Implanted pressure injection pipette into left HVC.
70;p15o-s3k;Song tutoring;08.09.2006;16.11.2006;IS4;Zut3;;Georg;1;song tutoring with song from r9k-s17 one of the ZZ fathers, randomly switching between 20 different versions of the song
71;y4o-wang;Singing vs. Light-OFF Exp.;07.09.2006;10.09.2006;IS3;Zut2;;Claude;0;
72;p18k-s6;Right-HVC Stim & Right-LMAN Stim.;11.09.2006;21.09.2006;E2;Zirkel;;Claude;3;
73;s7o-p11k;SR;15.09.2006;21.09.2006;IS3;Zut3;;Katja;0;
74;s9o-p11k;SR;15.09.2006;19.09.2006;IS2;Zut3;;Katja;0;
75;y14o-p11k;SR;15.09.2006;23.09.2006;IS5;Zut3;;Katja;0;
76;s3o-r16;NIf injection BODIPY;14.09.2006;15.09.2006;IS1;Zut3;;Katja;2;surgery went fine. Bird starts singing the next day. Injection works, injected much too much BODIPY due to tubeing movements. Bird didn't sing. Once he started singing, no effect.
77;k8k-b3k;Heliox experiment;18.09.2006;18.09.2006;E3;;;Aymeric;2;Recording tests in HelioxBox, Plexibox, filled with Helium/Oxygen (70/30%). About one hour.
78;s9o-p11k;MD NIf experiment;19.09.2006;14.11.2006;E1;Zut;;Georg;2;Good data. Aymeric did the recording. Attempted to deafen bird, died of an overdose of Rimaldyl.
79;g2o-r16;acut experiment;19.09.2006;19.09.2006;AS;Zing;;Katja;2;UVA injected Lidocain, RA recording. BAD experiment. Nothing worked
80;s7o-p11k;NIf injection BODIPY;21.09.2006;24.09.2006;E2;Zirkel;;Katja;2;deleted all song files. Experiment didn't work. First day the bird lost tubing and plug and didn't sing. Next day he sung but the injection didn't work. Then I tried to inject and probably destroyed a lot. Injected a bit. Bird didn't sing for a bit more than 3 hours. The song showed no deficits. I injected a bit more (a lot!!) bird went ill, - no experiment ---> perfusion.
81;o7o-p20;Test surgery for locating the DM;21.09.2006;21.09.2006;;;;Claude;2;make several electrolysis lesion on the right side brain to locate DM. The bird behaves as normal after awaking up from surgery. 20 minutes later, kill her for histology.
83;b5o-g14k;acut Experiment;28.09.2006;28.09.2006;AS;Zing;Lacie1TB;Katja;2;recordings in UVA and RA and NIf. Everything went VERY well. Injected Lidocain and Dopamine in UVA and around. Good signals and Data.
84;k8k-b3k;SR;25.09.2006;03.10.2006;IS7;Zut3;;Katja;0;
85;y14o-p11k;NIF injection BODIPY;25.09.2006;29.09.2006;E2;Zirkel;;Katja;2;worked not as it should. Surgery fine, bird fine, but didn't sing enough. No effect after injection on Thursday, try to inject more on Friday
86;y9o-o4k;Search Right-side DM & MLd. Inject Tracer;29.09.2006;02.10.2006;;;;Claude;2;
87;g17o-r14;SR;29.09.2006;29.09.2006;IS1;Zut3;;Katja;0;
88;g17o-r14;NIf injection experiment;30.09.2006;03.10.2006;E2;;;Katja;2;no experiment, bird is to nervos, no song recorded
89;g15o-r14;NIf injection;03.10.2006;06.10.2006;E2;Zirkel;;Katja;2;"NIf injection --- > bird didn;tsing the first two days. Injection didn't work properly afterwards."
90;k8k-b3k;acut experiment;04.10.2006;04.10.2006;AS;Zing;;Katja;2;recording in UVA and RA. Nice experiment. Inject Lidocaine (4%), Glutamate (12mM. 50mM) and Fluoruby into UVA and above while recording in RA.
91;g3o-r11;SR;05.10.2006;15.10.2006;IS7;Zut3;;Katja;0;
92;g17o-r14;NIf injection exp;09.10.2006;11.10.2006;E2;Zirkel;;Katja;2;surgery @ 9th of October. Experiment with perfusion @11. Oktober
94;g3o-r11;acut experiment;18.10.2006;18.10.2006;AS;Zing;;Katja;2;UVA not found , RA recording. No sleep bursts.  _ BAD_Experiment
95;s1o-r16;lesion left HVC;30.08.2006;19.10.2006;IS6;Zut3;;Richard;2;@30.08.2006 untill 19.10.2006 in IS6. recorded. Not a good song or not re-learned well.
96;g6o-r12k;SR;19.10.2006;20.10.2006;IS6;Zut3;;Richard;0;
97;s10o-sb;SR;19.10.2006;01.11.2006;IS7;Zut3;;Richard;0;
98;b19k-r11;SR;19.10.2006;30.10.2006;IS8;Zirkel;;Richard;0;
99;g6o-r12k;acut experiment;23.10.2006;23.10.2006;AS;Zing;;katja;2;bird didn't slept. Injected lidocain (O.04%) -- wrong concentration!!!!!!
100;b19k-r11;UVA & RA Acute Exp.;01.11.2006;01.11.2006;AS;Zing;;Claude;2;Bleeding. Stopped experiment.
101;s2o-r16;Long term chronic MD implant;20.09.2006;31.10.2006;E1;Zut;;Georg;2;Recorded signals 50 days post implant, signals still good and electrodes still moved.
102;o10w;Heliox;30.10.2006;30.10.2006;E3;;;Florian;2;Song recording in heliox atmosphere. No change in ferquency or pitch.
103;s3k-y8;SR;11.10.2006;14.10.2006;IS4;;;Florian;0;
104;s10o-sb;Acute Exp. for UVA;02.11.2006;02.11.2006;AS;;;Claude;2;Bad Luck, couldn't find UVA. Make burning and do histology.
105;r1o-p11k;SR;03.11.2006;11.11.2006;IS7;Zut3;;Claude;0;
106;s13o-sb;SR;03.11.2006;17.11.2006;IS8;Zut3;;Claude;0;
107;g7o-r12k;SR;03.11.2006;06.11.2006;IS6;Zut3;;Claude;0;
108;b18o-silver2;LTP in RA;10.11.2006;10.11.2006;AS;;;Isabelle;1;died after operation, with injection of nembutal- time of dead not clear but probably just after injection
109;g7o-r12k;Acute Exp for UVA inactivation and RA recording.;06.11.2006;06.11.2006;AS;Zing;;Claude;2;Successful Exp.
110;r1o-p11k;Acute Exp for UVA inactivation and RA recording.;11.11.2006;13.11.2006;AS;Zing;;Claude;2;
111;k7k-b3k;Nembutal-injection intramuscular;14.11.2006;14.11.2006;AS;;;Isabelle;1;died after injection- after 17min. Infection volume less than 30ul. Bleeding a little bit.
112;o18o-y13k;Nembutal -injection, intramuscular;14.11.2006;14.11.2006;;;;Isabelle;2;injection of <30ul Nembutal, slept for 1h, wake up once as we took k7k out of the cage after 17min. Wake up, everything fine.
113;g12k-y8;Cochlear removal;15.11.2006;15.11.2006;;;;Georg;2;Attempted to remove left cochlea. Bird disoriented and in pain after surgery -> immediate EoE. Post mortem verification of location.
114;g12o-g14k;RA-Plasticity Acute Exp.;16.11.2006;16.11.2006;AS;Zing;;Claude;2;
115;y5o-s3k;SR;16.11.2006;24.11.2006;IS1;Zut3;;Georg;0;Song recording for comparison.
116;y6o-s3k;SR;16.11.2006;24.11.2006;IS2;Zut3;;Georg;0;Song recording for comparison.
117;s13o-sb;UVA inactivation and RA recording.;17.11.2006;17.11.2006;AS;Zing;Lacie1TB;Claude;2;Very nice RA sleeping pattern.
118;b7o-p11k;RA Plasticity;20.11.2006;20.11.2006;AS;;;Isabelle;2;RA is not healthy. HVC Stim implant is not good. There are large stim artifacts. LMAN stim is ok.
119;r15o-r11c;Cochlear removal right;22.11.2006;22.11.2006;;;;Georg;2;Could not find cochlea. EoE
120;g8o-r12k;Song Recording, HVC Stim and UVA Recording.;24.11.2006;14.12.2006;E2;Zirkel;;Claude;2;HVC stim has no effects even with current of 3mA. DM recording looks in some extent lock to the song.
121;b10o-p11k;SR;04.01.2007;14.01.2007;E2;Zirkel;;Claude;1;
122;b10o-p11k;DM-Lesion;16.01.2007;16.01.2007;AS;;;Claude;2;Break electrodes during exp. Couldn't have signal because I forgot to connect the ground wire on the right-side headstage.
123;o13o-y8;Cochlear removal;23.11.2006;27.11.2006;;;;Georg;2;Removed cochlea succesfully on right side.
126;p8o-r16;perfusion;19.12.2006;19.12.2006;;;;Daniele;1;
127;p9o-r16;RA Plasticity;27.11.2006;27.11.2006;AS;;;Isabelle;2;Dead due to overdose of Nembutal (25ul).
128;p9o-y13k;RA Plasticity;29.11.2006;29.11.2006;;;;Isabelle;2;good neurons in RA, good data for HVC, but LMAN has no good data.
129;g19o-silver2;SR;30.11.2006;01.12.2006;IS1;Zut3;;Claude;0;
130;p10o-s3k;SR;30.11.2006;01.12.2006;IS2;Zut3;;Claude;0;
131;p2o-g14k;SR;30.11.2006;01.12.2006;IS3;Zut3;;Claude;0;
132;p6o-sb;SR;30.11.2006;01.12.2006;IS4;Zut3;;Claude;0;
133;s16o;SR;30.11.2006;01.12.2006;IS5;Zut3;;Claude;0;
134;y20o-o4k;SR;30.11.2006;01.12.2006;IS6;Zut3;;Claude;0;
135;y14p-r11;SR;01.12.2006;19.12.2006;IS7;Zut3;;Georg;0;Postponed acute experiment.
136;g11o-g14k;RA Plasticity;06.12.2006;06.12.2006;AS;;;Isabelle;2;hard to find RA, no LMAN Stimulation, recordings only after 17:30
137;g9o-r12k;NIf anatomy;08.12.2006;08.12.2006;;;;Georg;1;
138;b16k-r16;SR;11.12.2006;15.12.2006;;;;Joshua;2;headphones feedback, no experiment.. Did not sing on the first day in E3
140;s16o;RA Plasticity;12.12.2006;12.12.2006;AS;;;Isabelle;2;geschwollenes RA, kein Signal
141;r13o-o4k;RA Plasticity;13.12.2006;13.12.2006;AS;;;Isabelle;2;Bird was moving a lot as the head was not fixated well
143;s1b-y8;Tracer Injection in HVC;15.12.2006;18.12.2006;;;;Daniele;2;Bilateral tracer Injection in HVC and perfusion
144;g14o-g14k;Immunostaining;18.12.2006;18.12.2006;;;;Daniele;1;Bird broke his leg and was used for immunostaining after perfusion.
145;r17o-r11;RA Plasticity;21.12.2006;21.12.2006;;;;Isabelle;2;LMAN Stimulation, Stim. Amplitude und Pulsanzahl variieren
147;p4o-sb;HVC Injection;22.12.2006;28.12.2006;;;;Daniele;2;Fluororuby bilater injection in HVC
148;k18k-r11;Plasticity in RA;04.01.2007;04.01.2007;AS;;;Isabelle;2;very nice experiment, simultanious stimulation of RA by LMAN and HVC, different latency, different amplitude, HVC stim electrode is not on the right place? HVC response is weak
150;o2p-silver17;song recording Nif MD;05.01.2007;09.02.2007;E1;Zut;Lacie1TB;Georg;2;Electrode 1 broke off of shuttle after implantation. E2 and E3 in NIf.
151;p17k-y6;Western Blot;09.01.2007;09.01.2007;;;;Daniele;1;Bird used for Western Blot
152;s7k-b3k;RA Plasticity;10.01.2007;10.01.2007;AS;;;Isabelle;2;
153;s4b-y8;Acute double HVC;11.01.2007;11.01.2007;AS;Zing;;Richard;2;Acute experiment HVC right and left
154;b16k-r16;Acute double HVC;12.01.2007;12.01.2007;AS;Zing;;Richard;2;Good Data of simultan HVC recordings. Burns for histiology at 500, 1000, 1500 both sides.
155;g20o-ch900;Song recording and DM-lesion;15.01.2007;27.01.2007;E2;Zirkel;;Claude;2;
156;g11p-s19o;Perfusion for immunostaining test;19.01.2007;19.01.2007;;;;Daniele;2;
157;g5p-s19o;Perfusion EM Prep;19.01.2007;19.01.2007;;;;Moritz;2;
159;y14p-r11;SR;22.01.2007;22.01.2007;E2;Zirkel;;Claude;2;Stop song recording. Only 3 short syllables.
160;k19k-g14k;Song recording, Unilateral HVC Stims.&DM Recording;22.01.2007;13.02.2007;E2;Zirkel;;Claude;2;
161;o10p-r16;RA-HVC/LMan Induction;19.01.2007;19.01.2007;AS;Zut4;Lacie1TB;Richard;2;good experiment
162;o3p-silver17;tracer injection;22.01.2007;25.01.2007;;;;Daniele;1;Bilateral injection in HVC and Nif.
164;red16;SR;22.01.2007;23.01.2007;IS2;Zut3;;Aymeric;0;SR for  PB-file  for o15p acute experiment
165;o15p-r16;RA-HVC/LMan Induction;24.01.2007;24.01.2007;AS;Zut4;Lacie1TB;AYMrich;2;good experiment
166;Silver17;SR;29.01.2007;29.01.2007;IS2;;;Aymeric;0;SongRecording: no song
167;r;SR;29.01.2007;30.01.2007;IS2;;;Aymeric;0;SongRecording in IS2 with his father.
168;r;acute RA-HVC/Lman;30.01.2007;30.01.2007;AS;Zut4;Lacie1TB;Aymeric;2;acute experiment with double Recording in RA while Stimulation in  HVC and Lman
169;r9b-o3;Tacer Injection;29.01.2007;31.01.2007;;;;Daniele;2;Fluororuby injection in right HVC
171;Silver17;SR;30.01.2007;30.01.2007;IS2;;;Aymeric;0;SongRecording no song - bird back to cage U6
172;g8o*;SR;02.02.2007;05.02.2007;IS2;;;Aymeric;0;
173;y13k-s17;SR;02.02.2007;05.02.2007;;;;Aymeic;0;SongRecording during 3 days
174;o7p-y8;tracer injection;02.02.2007;05.02.2007;;;;Moritz;2;HVC left flouroruby, HVC right yellow. Test if flourotracers get affected by EM-fixation and preparation.
175;o9p-y8;SR;02.02.2007;08.02.2007;IS1;Zut2;;Joshua;1;
176;g8o*;RA-HVC/LManStim;05.02.2007;05.02.2007;AS;Zut4;Lacie1TB;Aymeric;2;acute experiment with  recording and injection in RA while Stimulation in  HVC and Lman
177;red16;SR;06.02.2007;12.02.2007;IS2;Zut3;;Aymeric;0;SR with son JM3a (now a3-r16)
178;a3-r16;SR;06.02.2007;12.02.2007;IS2;Zut3;;Aymeric;0;SR with father red16
179;p10o-s3k;Tracer Inj;07.02.2007;09.02.2007;;;;Moritz;2;Uva and HVC bilateral tracer injection
180;o6p-y8;Perfusion (EM-prep);01.02.2007;01.02.2007;;;;Moritz;2;
181;b1p-red11;Tracer injection;09.02.2007;12.02.2007;;;;Daniele;2;Bilateral injection of Alexa Fluor 466 in HVC, perfusion (without postfixation(
182;a3-r16;acute RA-HVC/LManStim;12.02.2007;12.02.2007;AS;Zut4;Lacie1TB;Richard;2;Acute experiment with recording elctrode in RA, Stimulation of HVC and LMan and injection of Bicuculline Metriodide in RA
183;p14o-r9k;Loudspeaker;12.12.2006;09.02.2007;E3;Zutty;;Joshua;2;Sound playback by headfixed loudspeakers
184;b6p-yellow20;Tracer Injection;15.02.2007;15.02.2007;;;;Daniele;1;Bleeding during operation (I had to kill the animal under anesthesia)
185;o9p-y8;Hexode Microdrive;08.02.2007;15.02.2007;E3;zutty;;Joshua;2;
186;g18p-yellow1;SR;19.02.2007;20.02.2007;IS2;Zut3;;Aymeric;0;Songrecording with father in IS2
187;yellow1;SR;19.02.2007;20.02.2007;IS2;Zut3;;Aymeic;0;Songrecording with son g18p-yellow1
188;y9p-y20;Perfusion;12.12.2006;12.12.2006;;;;Moritz;2;
189;y10p-r11;SR;19.02.2007;22.02.2007;IS1;Zut2;;Joshua;1;
190;g10o-g14k;SR;20.02.2007;23.02.2007;IS3;;;Joshua;1;
191;g18p-yellow1;RA-HVC/LMANStim;20.02.2007;20.02.2007;AS;Zut4;Lacie1TB;Richard;2;RA recording and injections while simultan stimulation of HVC and LMAN in acute setup
192;y14p-r11;Tracer Injection;21.02.2007;26.12.2007;;;;Daniele;2;Alexa Fluor injection in HVC, bilateral, P32 (1, 0.78), more than one diameter. Immunostaining
193;b20p-red16;MD Field L;22.02.2007;29.03.2007;E1;Zut;;Georg;3;Field L recording, E1 and E2 4MOhm E3 10MOhm, E3 broke after one week of recording, probably due to blood clotting in the guide tube. Cochlear removal, no damage, no bleeding, relativeley big holes in the outer wall of the cochlea. Bird completely lost balance after surgery. Injected 1ul Rimaldyl i.p. and the bird died.
194;y7p-o3;Tracer Injection;23.02.2007;27.02.2007;;;;Daniele;2;Nif (AF) and HVC tracer injection (FR)
195;o16p-ch900;Tracer Injection UVA&HVC;26.02.2007;02.03.2007;;;;Moritz;2;
196;g12p-s19o;UVA&HVC Tracer Injection;27.02.2007;02.03.2007;;;;Moritz;2;
197;y13p-r11;SR;28.02.2007;01.03.2007;IS2;Zut3;;Aymeric;0;
198;y13p-r11;acute;01.03.2007;01.03.2007;IS2;Zut4;Lacie1TB;Richard;2;RA recordings and injections - LMAN/HVC stimulation
199;s14p-yellow8;Immunostaining;06.03.2007;06.03.2007;;;;Daniele;2;Perfusion for immunostaining
200;y10p-r11;Hexode Microdrive;22.02.2007;06.03.2007;E3;zutty;zynix;Joshua;2;Hexode in RA, good data of regular spiking and bursts
201;s12p-yellow8;acute;06.03.2007;06.03.2007;AS;Zut4;Lacie1TB;Richard;2;Acute experiment recording RA and biccuculine Injections, while HVC/LMAN-stimulations
203;b9o-p11k;SR;15.03.2007;19.03.2007;E2;Zirkel;;Claude;2;
204;g10o-g14k;Tracer Injection in HVC, Alexaf. 488;15.03.2007;22.03.2007;;;;Moritz;2;
205;y20o-o4k;Acute Exp. by Richard and Aymeric;16.03.2007;16.03.2007;AS;Zut4;Lacie1TB;Aymeric;2;RA recording and injections of biccu - HVC/LMAN-stim
206;r6o-s2;Song recording,k HVC Stim., DM Recording;16.03.2007;06.06.2007;E2;Zirkel;;Claude;2;Only do HVC Stim. before I left for Taiwan on 3/30.
207;b9o-p11k;Uva and HVC injection;19.03.2007;22.03.2007;;;;Daniele;2;Uva 10U AF
208;p6o-sb;UVA Acute Exp.;22.03.2007;22.03.2007;AS;Zing;Lacie1TB;Claude;2;Exp. Failed. Can't find UVA.
209;r2p-r19o;HVC Tracer Injection;22.03.2007;26.03.2007;;;;Daniele;2;AF Injection (Left 18-22, Right 19-24)
210;r17k-silver17;Surgery practice for removing the dura.;23.03.2007;23.03.2007;;;;Claude;1;
211;p5p-s14k;Bilateral HVC/LMAN-recordings;24.03.2007;07.05.2007;E3;Zutty;;Aymeric;2;Implant bilateral electrodes in HVC and LMAN, Bilateral HVC/LMAN-recording electrodes in a Juvenile (PHD 40) - chronical experiment. Electrodes came off upon reconnection attempt. EoE
213;s14k-r16;SR;25.03.2007;16.04.2007;E3;Zutty;;Aymeric;2;Put in E3 by Aymeric for Songteaching to son  p3p.
214;b3p-red11;Tracer Injection;26.03.2007;29.03.2007;;;;Daniele;2;Af488 HVC injection for immuno
215;g19o-silver2;UVA Exp. Acute.;27.03.2007;27.03.2007;AS;Zing;;Claude;2;RA neurons are not bursty and not BOS responsive!
216;s18o-y20;SR;27.03.2007;02.04.2007;IS1;Zut3;;Claude;1;
217;o20k-sg8;SR;27.03.2007;03.04.2007;IS2;Zut3;;Claude;1;Song recording
219;p9o;SR;28.03.2007;06.04.2007;IS4;Zut3;;Claude;1;
221;o17p-r12k;SR;28.03.2007;05.04.2007;IS3;Zut3;;Claude;1;
222;s10p-yellow8;CMM search & cochlear removal;12.03.2007;12.03.2007;;;;Georg;1;
223;r18w-silver17;HVC tracer injection;28.03.2007;02.04.2007;;;;Daniele;1;AF 488 injection in HVC, bilateral
224;p2o-g14k;UVA, RA Exp.;29.03.2007;29.03.2007;AS;Zing;;Claude;2;Found UVA and had good RA neurons.
225;b6o-p11k;Tracer Injection;30.03.2007;10.04.2007;;;;Daniele;1;AF488 in HVC
226;s18o-y20;Acute;02.04.2007;02.04.2007;AS;Zut4;Lacie1TB;Richard;2;UVA awake BOS - HVC Stim/RA recordings
227;o20k-sg8;acute;03.04.2007;03.04.2007;AS;;Lacie1TB;Rich;2;RA-recording in sleeping bird while HVC and LMAN-stimulations and injections of biccuculine and CPG
228;o17p-r12k;Acute;05.04.2007;05.04.2007;AS;Zut4;Lacie1TB;Richard;2;RA recordings / UVA injection GABA
229;p9o;Acute;06.04.2007;06.04.2007;AS;;Lacie1TB;Richard;2;RA-recordings - Uva recording and  injections of GABA, alexa fluor and lidocaine while playing PB
230;s15o;SR;08.04.2007;12.04.2007;IS3;;;Aymeric;0;
231;s16p-yellow20;SR;08.04.2007;12.04.2007;;;;Aymeric;0;
