Birdname;Species;Sex;Birthday;Uncertainty;Cage;Father;Mother;Date of death;Cause of death;Comment;Reserved
b11r4;ZF;F;08.04.2008;3;;g9r1;b4p-red11;05.10.2008;End of Exp.;;FALSE
b11r5;ZF;M;;0;;;;27.07.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b11r6;ZF;F;08.11.2008;4;;b7r5;g19r2;27.06.2009;NE;;FALSE
b11r7;ZF;M;02.03.2009;0;U7;y16p-s2;o8r5;;;I may need to record some more videos from this bird, please don't kill him. Alessandro;FALSE
b11r8;ZF;F;30.05.2009;4;2O4;r5y11;p15r5;;;;FALSE
b12o-g14k;ZF;M;12.06.2006;0;;g14k;orange16;17.04.2007;End of Exp.;;FALSE
b12p-red16;ZF;F;29.12.2006;4;;red16;green12;24.07.2007;Given away;Given away to Johanna;FALSE
b12r1;ZF;M;30.06.2007;1;;r3p-r19o;r16o-r11;04.09.2007;Perished;Bird was found dead in cage. Inspection of the body showed no particuliar signs of illness or agression. Natural death presumed.;FALSE
b12r10;ZF;M;11.09.2009;5;KM;p2r5;b5r7;;;;FALSE
b12r2;ZF;F;01.09.2007;5;;yellow1;green12;21.08.2008;NE;euthanized, not found in ZZ-O on 09.06.08;FALSE
b12r3;ZF;M;28.12.2007;4;;b16r1;o11p-p20;25.06.2009;NE;missing since 3.7.08. Not found, presumed dead. (-janie, 25.june.2009);FALSE
b12r4;ZF;M;04.04.2008;2;;r2s6;r2y1;14.07.2008;Perished;Bird escapes cage in isochamber on 14th of july and is really weak when we find it. -> euthanasia;FALSE
b12r5;ZF;M;;0;;;;27.10.2008;End of Exp.;bought from qualipet on 10.10.08;FALSE
b12r6;ZF;F;08.11.2008;4;;b7r5;g19r2;20.03.2009;NE;;FALSE
b12r7;ZF;;02.03.2009;0;;y16p-s2;o8r5;;;;FALSE
b12r8;ZF;F;30.05.2009;4;M1;r5y11;p15r5;;;;FALSE
b13g-red11;ZF;M;01.01.2007;5;;red11;purple16;25.10.2008;End of Exp.;cochlear rem. by Claude;FALSE
b13o-g14k;ZF;M;09.06.2006;0;;g14k;orange16;25.09.2006;NE;found by Johanna in Cage M1. She wrote that she has found b3o*. But this bird is supposed to be a female that's why I mark the b13o  as dead.;FALSE
b13p-y13k;ZF;F;22.12.2006;2;;y13k-s17;purple5;24.07.2007;Given away;Given away to Johanna;FALSE
b13r10;ZF;M;11.09.2009;5;;p2r5;b5r7;11.01.2010;End of Exp.;;FALSE
b13r2;ZF;M;28.12.2007;4;;b16r1;o11p-p20;05.02.2008;End of Exp.;;FALSE
b13r3;ZF;M;05.09.2007;2;;g6r1;p14b-r16;24.06.2009;End of Exp.;;FALSE
b13r4;ZF;F;08.04.2008;1;;r2s4;y8o-r16;20.03.2009;NE;;FALSE
b13r5;ZF;M;;0;;;;15.10.2008;End of Exp.;bought from qualipet on 10.10.08;FALSE
b13r6;ZF;F;08.11.2008;4;;b7r5;g19r2;20.03.2009;NE;;FALSE
b13r7;ZF;;20.02.2009;1;;red11;b7br-b3k;05.05.2009;End of Exp.;;FALSE
b13r8;ZF;F;30.05.2009;4;KU;r5y11;p15r5;;;;FALSE
b14k-p11k;ZF;M;02.03.2006;0;;p11k-ch900;g16k;28.06.2006;End of Exp.;;FALSE
b14o-sb;ZF;M;26.06.2006;0;;silverblack;purple17;07.09.2006;End of Exp.;Pipette fell off possibly due to lack of insect pin.;FALSE
b14p-y13k;ZF;F;22.12.2006;2;;y13k-s17;purple5;20.04.2007;End of Exp.;;FALSE
b14r1;ZF;M;17.07.2007;5;;red16;g18k-y6;23.11.2007;End of Exp.;;FALSE
b14r10;ZF;M;11.09.2009;5;O4;p2r5;b5r7;;;;FALSE
b14r2;ZF;M;05.09.2007;2;;g6r1;p14b-r16;22.01.2008;End of Exp.;;FALSE
b14r3;ZF;M;28.12.2007;4;2M3;b16r1;o11p-p20;;;for breeding;TRUE
b14r4;ZF;M;08.04.2008;1;A-UL;r2s4;y8o-r16;;;;FALSE
b14r5;ZF;M;;0;;;;12.05.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b14r6;ZF;F;;0;;r011;;15.01.2009;NE;No juvenile record and found in 2M1B looking like 60 days old. (13.01.2009 Claude).;FALSE
b14r7;ZF;M;14.03.2009;0;;b16r6;o13r5;17.08.2009;End of Exp.;bird did not sing in isochamber. -Michael. Not found in KM on 20 June 2009 - Janie. I found it in KM on 21.06.2009. -Claude.;FALSE
b14r8;ZF;F;30.05.2009;4;KU;r5y11;p15r5;;;;FALSE
b15g-red11;ZF;F;01.01.2007;5;;red11;purple16;20.04.2007;End of Exp.;;FALSE
b15k-p11k;ZF;F;03.03.2006;0;;p11k-ch900;g16k;06.10.2006;NE;;FALSE
b15o-sb;ZF;F;26.06.2006;0;;silverblack;purple17;06.10.2006;NE;;FALSE
b15p-y13k;ZF;F;22.12.2006;2;;y13k-s17;purple5;24.07.2007;Given away;Given away to Johanna;FALSE
b15r1;ZF;F;17.07.2007;5;;red16;g18k-y6;01.11.2007;Given away;Given away to Johanna;FALSE
b15r10;ZF;M;17.09.2009;3;KM;974;g2r5;;;;FALSE
b15r2;ZF;M;05.09.2007;2;;g6r1;p14b-r16;19.05.2008;;;FALSE
b15r3;ZF;F;19.01.2008;5;;g13p-purple20;r8p-s19o;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b15r4;ZF;F;16.04.2008;3;;g8r2;b11r2;21.08.2008;NE;euthanized;FALSE
b15r5;ZF;M;;0;;;;05.05.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b15r6;ZF;F;05.11.2008;4;M5;b15r5;o5r5;;;;FALSE
b15r7;ZF;M;02.03.2009;1;;b8p-s14k;p2r6;02.05.2009;NE;bird was sick, Daniele killed it.;FALSE
b15r8;ZF;M;22.06.2009;5;;b6r5;r7y4;23.09.2009;End of Exp.;;FALSE
b16g-red11;ZF;F;01.01.2007;5;;red11;purple16;01.11.2007;Given away;Given away to Johanna;FALSE
b16k-r16;ZF;M;03.04.2006;5;;red16;green12;12.01.2007;End of Exp.;very nervous in setup, do not put in small cages for experiment;FALSE
b16o-sb;ZF;F;27.06.2006;0;;silverblack;purple17;06.10.2006;NE;;FALSE
b16p-y13k;ZF;F;22.12.2006;2;;y13k-s17;purple5;25.06.2007;End of Exp.;;FALSE
b16r1;ZF;M;17.07.2007;5;;red16;g18k-y6;09.03.2008;Perished;"Attacked by his ex-wife ""o11p-p20"". Now with a new wife ""p10r2"". But when he sang to p10r2, there was only beak movement without song. So I put another tutor ""g12r2"" together with them (07.03.2008). Unfortunately this bird was killed by the new comers. (10.03.2008). Claude.";FALSE
b16r10;ZF;M;17.09.2009;3;KM;974;g2r5;;;;FALSE
b16r2;ZF;F;28.09.2007;0;;s20o-yellow20;p19k-o3;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b16r3;ZF;F;15.01.2008;1;;r2s7;b12r2;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b16r4;ZF;M;16.04.2008;3;;g8r2;b11r2;15.10.2008;End of Exp.;;FALSE
b16r5;ZF;M;22.08.2008;0;;;;05.11.2008;End of Exp.;bought from Qualipet on 22.10.08, birthday estimated;FALSE
b16r6;ZF;M;05.11.2008;4;;b15r5;o5r5;03.08.2009;End of Exp.;;FALSE
b16r7;ZF;F;19.02.2009;3;;b14r3;o6r5;24.06.2009;End of Exp.;;FALSE
b16r8;ZF;F;22.06.2009;5;MK;b6r5;r7y4;;;never heard any song. reserved for preference tests. alessandro;TRUE
b17k-sb;ZF;F;13.04.2006;0;;silverblack;purple17;06.10.2006;NE;;FALSE
b17p-y13k;ZF;F;22.12.2006;2;;y13k-s17;purple5;24.07.2007;Given away;Given away to Johanna;FALSE
b17r1;ZF;M;08.06.2007;3;;yellow20;blue2;09.10.2007;End of Exp.;;FALSE
b17r10;ZF;M;17.09.2009;3;;974;g2r5;22.01.2010;Surgery;michael - GECIP YC3.60;TRUE
b17r2;ZF;F;28.09.2007;0;;s20o-yellow20;p19k-o3;21.08.2008;NE;euthanized;FALSE
b17r3;ZF;M;08.01.2008;0;;s20o-yellow20;p19k-o3;19.03.2008;End of Exp.;;FALSE
b17r4;ZF;F;16.04.2008;3;;g8r2;b11r2;21.08.2008;NE;euthanized;FALSE
b17r5;ZF;M;22.06.2008;0;;;;27.10.2008;End of Exp.;bought from Qualipet on 22.10.08, birthday estimated;FALSE
b17r6;ZF;M;08.11.2008;3;;b3r5;o7r5;10.02.2009;End of Exp.;;FALSE
b17r7;ZF;M;13.03.2009;3;;b9r5;o8p-y8;26.05.2009;End of Exp.;;FALSE
b17r8;ZF;F;01.07.2009;2;;p3r6;r5y18;23.11.2009;NE;Was moved to R1 because was mistreated by his father;FALSE
b18o-silver2;ZF;F;14.08.2006;2;;silver2;p6k-y8;10.11.2006;Surgery;;FALSE
b18p-p20;ZF;M;14.02.2007;3;;purple20;purple13;03.06.2007;End of Exp.;;FALSE
b18p-s14k;ZF;F;31.12.2006;0;;s14k-r16;p3o-sb;01.11.2007;Given away;Given away to Johanna;FALSE
b18r1;ZF;F;07.06.2007;1;;y7o-r16;r11o-o4k;25.10.2007;End of Exp.;;FALSE
b18r10;ZF;F;12.09.2009;2;2U4;o11r8;g15r8;;;;FALSE
b18r2;ZF;M;15.10.2007;3;;g2r1;r1y17;05.02.2008;End of Exp.;;FALSE
b18r3;ZF;F;27.01.2008;5;;silver15;o8p-y8;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b18r4;ZF;M;10.04.2008;5;;o1r1;r7g-yellow8;10.07.2008;Perished;;FALSE
b18r5;ZF;M;22.06.2008;0;;;;10.11.2008;End of Exp.;bought from Qualipet on 22.10.08, birthday estimated;FALSE
b18r6;ZF;F;08.11.2008;3;;b3r5;o7r5;25.06.2009;NE;Not found in R4 on 24 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009);FALSE
b18r7;ZF;M;13.03.2009;2;;b6r5;r5y18;08.07.2009;End of Exp.;;FALSE
b19k-r11;ZF;M;03.04.2006;0;;red11;purple8;01.11.2006;End of Exp.;;FALSE
b19o-sb;ZF;F;27.06.2006;0;;silverblack;purple17;06.10.2006;NE;;FALSE
b19p-s14k;ZF;F;31.12.2006;0;;s14k-r16;p3o-sb;18.05.2007;End of Exp.;DOUBLE;FALSE
b19p-s3k;ZF;F;19.02.2007;2;;s3k-y8;k9k-ch900;03.12.2007;End of Exp.;DOUBLE;FALSE
b19r1;ZF;F;08.06.2007;3;;yellow20;blue2;01.11.2007;Given away;Given away to Johanna;FALSE
b19r10;ZF;M;12.09.2009;2;E1;o11r8;g15r8;;;janie, acute experiment when >120 dph;TRUE
b19r2;ZF;F;15.10.2007;3;;g2r1;r1y17;21.08.2008;NE;euthanized;FALSE
b19r3;ZF;F;27.01.2008;5;;silver15;o8p-y8;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b19r4;ZF;F;10.04.2008;5;;o1r1;r7g-yellow8;21.08.2008;NE;euthanized;FALSE
b19r5;ZF;M;22.06.2008;0;;;;29.10.2008;End of Exp.;bought from Qualipet on 22.10.08, birthday estimated;FALSE
b19r6;ZF;M;08.11.2008;3;;b3r5;o7r5;05.03.2009;Surgery;Died under anestia;FALSE
b19r7;ZF;M;13.03.2009;5;;o5r6;g2r5;13.05.2009;NE;after isolation in isochambers, the bird after 2 days looked very ill and trembled a lot.. No recovery, therefore the bird was given an overdose.;FALSE
b19r8;ZF;M;30.04.2009;0;KO;;;;;Bought from Qualipet on 31 Aug. 2009. Estimated age. Reserved for Pitch Shift exp.  Goekchen;TRUE
b1b2;ZF;M;30.01.2009;5;;b3r5;o7r5;07.07.2009;End of Exp.;reserved for michael;FALSE
b1o-b3k;ZF;F;01.04.2006;0;;b3k;blue3;06.10.2006;NE;;FALSE
b1p-red11;ZF;M;23.11.2006;2;;red11;purple16;12.02.2007;End of Exp.;;FALSE
b1r1;ZF;M;29.03.2007;5;;silverblack;blue3;31.08.2007;End of Exp.;;FALSE
b1r10;ZF;M;01.09.2009;2;2O2;r5y15;o12r3;;;;FALSE
b1r11;ZF;;21.12.2009;0;KM;o7r10;b5r7;;;;FALSE
b1r2;ZF;M;17.08.2007;5;;s2b-y8;r8p-s19o;25.06.2008;End of Exp.;;FALSE
b1r3;ZF;;06.01.2008;2;;silvergreen8;green16;08.02.2008;Perished;;FALSE
b1r4;ZF;F;18.03.2008;7;;k7r1;r14w-silver17;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b1r5;ZF;M;;0;;;;15.09.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b1r6;ZF;M;02.10.2008;6;;b13r3;p3o-sb;11.12.2008;End of Exp.;;FALSE
b1r7;ZF;F;05.12.2008;5;;p5r5;r2s18;13.04.2009;NE;cute white lil guy;FALSE
b1r8;ZF;M;18.05.2009;3;;k13r2;o2r5;06.08.2009;End of Exp.;Transferred in KO when 53 dph because of aggressive parents;FALSE
b20k-sg8;ZF;F;03.03.2006;0;;silvergreen8;purple5;16.02.2007;Given away;Given Away to Marianne;FALSE
b20o-ch900;ZF;F;24.03.2006;0;;goldch900;silver1;25.06.2009;NE;Used as show girl. Not found in KM on 20 June 2009. - Janie. Not found, presumed dead. (-janie, 25.june.2009);FALSE
b20p-red16;ZF;;29.12.2006;4;;red16;green12;29.03.2007;End of Exp.;;FALSE
b20r1;ZF;M;08.06.2007;3;;yellow20;blue2;20.09.2008;End of Exp.;Reserved for Janie;FALSE
b20r10;ZF;M;12.09.2009;2;;o11r8;g15r8;;;missing from cage, 13.01.2010 - michael;FALSE
b20r2;ZF;M;15.10.2007;3;;g2r1;r1y17;14.06.2008;End of Exp.;;FALSE
b20r3;ZF;F;27.01.2008;5;;silver15;o8p-y8;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b20r4;ZF;F;10.04.2008;5;;o1r1;r7g-yellow8;20.03.2009;NE;;FALSE
b20r7;ZF;;05.12.2008;5;;p5r5;r2s18;25.03.2009;End of Exp.;;FALSE
b20r8;ZF;M;30.04.2009;0;;;;02.11.2009;End of Exp.;Bought from Qualipet on 31 Aug. 2009. Estimated age.;FALSE
b2o-b3k;ZF;F;04.05.2006;3;;b3k;blue3;06.10.2006;NE;;FALSE
b2p-red11;ZF;M;23.11.2006;2;;red11;purple16;19.06.2007;End of Exp.;;FALSE
b2r1;ZF;M;29.03.2007;5;;silverblack;blue3;14.11.2007;NE;malformed feet. Could no longer grasp branches.;FALSE
b2r10;ZF;M;01.09.2009;2;;r5y15;o12r3;11.01.2010;End of Exp.;;FALSE
b2r11;ZF;M;28.11.2009;1;KO;b10r7;b15r6;;;;FALSE
b2r2;ZF;F;17.08.2007;5;;s2b-y8;r8p-s19o;01.11.2007;Given away;Given away to Johanna;FALSE
b2r3;ZF;;06.01.2008;2;;silvergreen8;green16;02.02.2008;End of Exp.;;FALSE
b2r4;ZF;M;18.03.2008;7;;k7r1;r14w-silver17;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b2r5;ZF;M;;0;;;;04.11.2008;NE;bought from qualipet on 10.10.08. Bird found dead in cage after few days of illness.;FALSE
b2r6;ZF;F;12.11.2008;3;;b14r4;o12r3;20.03.2009;NE;;FALSE
b2r7;ZF;F;05.12.2008;5;;p5r5;r2s18;;;cute lil white guy, bird is missing on june 15, 2009;FALSE
b2r8;ZF;;09.06.2009;4;;r7s5;p8r6;20.07.2009;NE;;FALSE
b3b4;ZF;M;30.01.2009;5;;b3r5;o7r5;11.05.2009;NE;;FALSE
b3k;ZF;M;;0;;;;02.07.2007;End of Exp.;father of  p16k-b3 (ibutenic acid NIf lesion);FALSE
b3o-b3k;ZF;F;04.05.2006;3;;b3k;blue3;06.10.2006;NE;;FALSE
b3p-red11;ZF;M;23.11.2006;4;;red11;purple16;29.03.2007;End of Exp.;;FALSE
b3r1;ZF;M;14.04.2007;3;;o4k-p2;green13;14.04.2007;End of Exp.;;FALSE
b3r10;ZF;M;01.09.2009;2;KO;r5y15;o12r3;;;;FALSE
b3r3;ZF;M;17.01.2008;4;;yellow10;o9o10;11.02.2008;End of Exp.;;FALSE
B3r4;ZF;F;03.03.2008;4;;g13p-purple20;r8p-s19o;25.06.2009;NE;not in ZZ-U on 09.06.08. Not found, presumed dead. (-janie, 25.june.2009);FALSE
b3r5;ZF;M;;0;;;;13.04.2009;NE;bought from qualipet on 10.10.08;FALSE
b3r6;ZF;F;12.11.2008;3;;b14r4;o12r3;20.03.2009;NE;;FALSE
b3r7;ZF;F;05.12.2008;5;;p5r5;r2s18;14.03.2009;NE;cute lil white guy;FALSE
b3r8;ZF;;09.06.2009;4;;r7s5;p8r6;15.07.2009;NE;Bad feeding by the female;FALSE
b4o-b3k;ZF;M;04.05.2006;3;;b3k;blue3;09.08.2006;End of Exp.;;FALSE
b4p-red11;ZF;F;23.11.2006;4;;red11;purple16;04.10.2009;NE;;FALSE
b4r1;ZF;M;14.04.2007;3;;o4k-p2;green13;18.07.2007;End of Exp.;;FALSE
b4r10;ZF;M;27.09.2009;2;R0;o10r8;r5s1;;;michael - GECIP YC3.60;TRUE
b4r11;ZF;M;26.11.2009;4;KO;o12r8;g19r2;;;;FALSE
b4r2;ZF;M;17.08.2007;5;;s2b-y8;r8p-s19o;26.05.2008;End of Exp.;;FALSE
b4r3;ZF;F;04.12.2007;2;;yellow10;o9o10;28.04.2008;NE;one foot was missing. Euthanized.;FALSE
b4r4;ZF;F;02.04.2008;1;;o19r2;r2s20;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b4r5;ZF;M;;0;;;;;Given away;bought from qualipet on 10.10.08 (It's given away by Richard.);FALSE
b4r6;ZF;M;12.11.2008;3;;b14r4;o12r3;29.06.2009;End of Exp.;;FALSE
b4r7;ZF;F;06.02.2009;6;KU;b7r5;g19r2;;;;FALSE
b4r8;ZF;;09.06.2009;4;;r7s5;p8r6;21.07.2009;NE;;FALSE
b5o-g14k;ZF;M;10.05.2006;2;;g14k;orange16;28.09.2006;End of Exp.;TRC;FALSE
b5p-red11;ZF;M;23.11.2006;4;;red11;purple16;12.07.2007;End of Exp.;;FALSE
b5r1;ZF;M;14.04.2007;3;;o4k-p2;green13;18.09.2007;End of Exp.;;FALSE
b5r10;ZF;F;15.09.2009;3;KU;p14k;r5s4;;;;FALSE
b5r11;ZF;F;26.11.2009;4;KU;o12r8;g19r2;;;;FALSE
b5r2;ZF;M;17.08.2007;5;;s2b-y8;r8p-s19o;;;missing;FALSE
b5r3;ZF;F;04.12.2007;2;;yellow10;o9o10;26.02.2008;End of Exp.;;FALSE
b5r4;ZF;F;02.04.2008;1;;o19r2;r2s20;21.08.2008;NE;euthanized;FALSE
b5r5;ZF;M;;0;;;;14.10.2008;Surgery;bought from qualipet on 10.10.08;FALSE
b5r6;ZF;F;21.11.2008;5;;red11;b7br-b3k;;;bird is missing on june 15, 2009;FALSE
b5r7;ZF;F;06.02.2009;6;E11;b7r5;g19r2;;;;FALSE
b5r8;ZF;M;09.06.2009;4;;r7s5;p8r6;18.09.2009;End of Exp.;Was isolated as juvenile;FALSE
b6k-s15;ZF;F;17.10.2005;0;;silver15;;16.02.2007;Given away;Given Away to Marianne;FALSE
b6o-p11k;ZF;M;06.06.2006;2;;p11k-ch900;g16k;10.04.2007;End of Exp.;;FALSE
b6p-yellow20;ZF;M;17.11.2006;0;;yellow20;blue2;15.02.2007;Surgery;;FALSE
b6r1;ZF;F;03.06.2007;4;;s3k-y8;k9k-ch900;01.11.2007;Given away;Given away to Johanna;FALSE
b6r11;ZF;M;18.11.2009;1;KO;o13r8;b4r7;;;;FALSE
b6r3;ZF;M;04.12.2007;2;;yellow10;o9o10;18.08.2008;End of Exp.;(kotowicz): I found this bird in M6 and it looked very bad. It was bleeding and was missing many feathers. I decided to put it back to its parents in M3B     Moritz> looked fine to me and was transferred to KO;FALSE
b6r4;ZF;M;02.04.2008;1;;o19r2;r2s20;28.08.2008;End of Exp.;crappy sound!!!!;FALSE
b6r5;ZF;M;;0;;;;07.08.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b6r6;ZF;M;21.11.2008;5;;red11;b7br-b3k;04.06.2009;End of Exp.;;FALSE
b6r7;ZF;F;;0;;;;24.06.2009;End of Exp.;created, cause found but not in db, June 15, 2009, michael;FALSE
b6r8;ZF;M;05.06.2009;4;;r7p1;p13r5;30.07.2009;Perished;found bird dead in cage;FALSE
b7br-b3k;ZF;F;24.03.2007;5;KU;b3k;green9;;;;FALSE
b7o-p11k;ZF;M;06.06.2006;2;;p11k-ch900;g16k;20.11.2006;End of Exp.;;FALSE
b7p-y13k;ZF;F;22.12.2006;2;;y13k-s17;purple5;20.04.2007;End of Exp.;;FALSE
b7r1;ZF;M;03.06.2007;4;;s3k-y8;k9k-ch900;10.12.2007;End of Exp.;;FALSE
b7r10;ZF;M;15.09.2009;3;;p14k;r5s4;26.12.2009;NE;;FALSE
b7r11;ZF;F;28.11.2009;1;KU;b10r7;b15r6;;;;FALSE
b7r3;ZF;M;04.12.2007;2;;yellow10;o9o10;11.12.2008;End of Exp.;;FALSE
b7r4;ZF;M;27.03.2008;1;;o20o;r16o-r11;17.08.2008;End of Exp.;;FALSE
b7r5;ZF;M;;0;;;;17.06.2009;End of Exp.;bought from qualipet on 10.10.08, reserved for michael;FALSE
b7r6;ZF;F;21.11.2008;5;;red11;b7br-b3k;20.03.2009;NE;;FALSE
b7r7;ZF;M;04.02.2009;7;A-UL;p2r5;r2y1;;;;FALSE
b7r8;ZF;;05.06.2009;4;;r7p1;p13r5;22.08.2009;NE;;FALSE
b8;BF;F;;0;;;;19.10.2007;Perished;was sick (Legestau) and therefore killed. Moritz;FALSE
b8br-b3k;ZF;F;24.03.2007;5;;b3k;green9;24.07.2007;Given away;Given away to Johanna;FALSE
b8k;ZF;F;01.11.2005;0;;;;16.02.2007;Given away;Given Away to Marianne;FALSE
b8o-p11k;ZF;M;06.06.2006;2;;p11k-ch900;g16k;02.10.2008;Surgery;Bird died after a Nembutal injection during experiment;FALSE
b8p-s14k;ZF;M;31.12.2006;0;;s14k-r16;p3o-sb;22.05.2009;NE;Euthanized due to swollen foot on 'p' leg;FALSE
b8r1;ZF;F;01.06.2007;2;;red14;red2;09.06.2008;Given away;Given away to Johanna on 09.06.08;FALSE
b8r10;ZF;M;15.09.2009;3;KM;p14k;r5s4;;;;FALSE
b8r3;ZF;M;17.01.2008;4;;yellow10;o9o10;14.02.2008;End of Exp.;;FALSE
b8r4;ZF;M;02.04.2008;0;;g12r2;p10r2;18.08.2008;End of Exp.;;FALSE
b8r5;ZF;M;;0;;;;20.10.2008;End of Exp.;bought from qualipet on 10.10.08;FALSE
b8r6;ZF;M;21.11.2008;5;;red11;b7br-b3k;16.03.2009;End of Exp.;;FALSE
b8r7;ZF;M;04.02.2009;7;E2;p2r5;r2y1;23.12.2009;End of Exp.;reserved for gokcen and Claude.;TRUE
b8r8;ZF;;05.06.2009;4;;r7p1;p13r5;03.11.2009;NE;;FALSE
b9o-p11k;ZF;M;06.06.2006;2;;p11k-ch900;g16k;22.03.2007;End of Exp.;;FALSE
b9p-red16;ZF;F;29.12.2006;4;;red16;green12;25.06.2009;NE;not in U1 - missing. Not found, presumed dead. (-janie, 25.june.2009);FALSE
b9r1;ZF;F;08.06.2007;3;;yellow20;blue2;01.11.2007;Given away;Given away to Johanna;FALSE
b9r2;ZF;F;17.08.2007;5;;s2b-y8;r8p-s19o;01.11.2007;Given away;Given away to Johanna;FALSE
b9r4;ZF;F;02.04.2008;0;;g12r2;p10r2;;;bird is missing on june 15, 2009;FALSE
b9r5;ZF;M;;0;;;;19.06.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b9r6;ZF;F;21.11.2008;5;;red11;b7br-b3k;20.03.2009;NE;;FALSE
b9r7;ZF;M;04.02.2009;7;;p2r5;r2s18;14.04.2009;NE;bird was sick.;FALSE
basdfa;ZF;;27.05.2007;3;;goldch900;purple17;;;;FALSE
blue10;ZF;F;01.03.2005;0;;;;24.07.2007;Given away;Given away to Johanna;FALSE
blue18;ZF;F;;0;;;;16.06.2006;NE;"Do not use for coupling! -> abgegeben an Z""uchter";FALSE
blue2;ZF;F;22.04.2005;0;;;;20.03.2009;NE;;FALSE
blue3;ZF;F;22.04.2005;0;;;;24.07.2007;Given away;Given away to Johanna;FALSE
